F,V,T1,T2,x,Status,F_set
5.855555523628587,-0.024274412817,20.758666276931763,0,188,drift,6.0
5.854982796172608,-0.024272131997333333,21.059090852737427,0,188,drift,6.0
5.851074773531819,-0.02427243903075,21.38399362564087,0,188,drift,6.0
5.849659799817051,-0.024271649516249997,21.68447995185852,0,188,drift,6.0
5.8476047189456,-0.024271781101999998,21.98488712310791,0,188,drift,6.0
5.846223435081184,-0.02427164951625,22.30979824066162,0,188,drift,6.0
5.8447410816657115,-0.02427086000175,22.610257148742676,0,188,drift,6.0
5.841911134236175,-0.024273535578666666,22.910683155059814,0,188,drift,6.0
5.839395625409919,-0.0242704652445,23.23567819595337,0,188,drift,6.0
5.838171560847143,-0.02427164951625,23.536136865615845,0,188,drift,6.0
5.8364533784792085,-0.024270377520666662,23.836581707000732,0,188,drift,6.0
5.834005249353657,-0.02427086000175,24.161481857299805,0,188,drift,6.0
5.832376906586662,-0.0242688862155,24.46185803413391,0,188,drift,6.0
5.830759793769784,-0.024271430206666667,24.7623553276062,0,188,drift,6.0
5.828734659431979,-0.0242720442735,25.087303400039673,0,188,drift,6.0
5.827222359482862,-0.024268886215499996,25.387932538986206,0,188,drift,6.0
5.825605246665983,-0.024268272148666663,25.688090085983276,0,188,drift,6.0
5.824212732851448,-0.0242688862155,26.013108253479004,0,188,drift,6.0
5.822910058637852,-0.024270465244499998,26.31344437599182,0,188,drift,6.0
5.820551769113238,-0.024271781101999998,26.613895654678345,0,188,drift,6.0
5.818283319189561,-0.02426967573,26.938952922821045,0,188,drift,6.0
5.817182784078074,-0.02427007048725,27.239253997802734,0,188,drift,6.0
5.816576366771745,-0.02426792125333333,27.539780139923096,0,188,drift,6.0
5.813671553008093,-0.024269675729999995,27.86480975151062,0,188,drift,6.0
5.812264065926736,-0.02427007048725,28.165029764175415,0,188,drift,6.0
5.810444814007747,-0.02426967573,28.465624809265137,0,188,drift,6.0
5.808490802687352,-0.0242720442735,28.79043221473694,0,188,drift,6.0
5.806873689870474,-0.024274018059749998,29.090842247009277,0,188,drift,6.0
5.80495336840043,-0.024269675729999995,29.39131736755371,0,188,drift,6.0
5.804657646380678,-0.0242752023315,29.716343641281128,0,188,drift,6.0
5.803774223638123,-0.02427243903075,30.01664447784424,0,188,drift,6.0
5.801079035609993,-0.024272131997333333,30.317177534103394,0,188,drift,6.0
5.799387056458999,-0.0242704652445,30.642146110534668,0,188,drift,6.0
5.798013259227994,-0.024268491458249997,30.942477226257324,0,188,drift,6.0
5.79750791147272,-0.024270728416,31.242870330810547,0,188,drift,6.0
5.794775290277531,-0.02427717611775,31.56796646118164,0,188,drift,6.0
5.793768338083688,-0.02427164951625,31.86828875541687,0,188,drift,6.0
5.792218604967513,-0.024269675729999995,32.168715476989746,0,188,drift,6.0
5.790223417163355,-0.02427086000175,32.493722438812256,0,188,drift,6.0
5.7894897270890295,-0.024269280972749996,32.79404020309448,0,188,drift,6.0
5.787737854870745,-0.024270377520666665,33.094632625579834,0,188,drift,6.0
5.785701490582825,-0.024268886215499996,33.41941571235657,0,188,drift,6.0
5.784907907441208,-0.024270465244499998,33.71998453140259,0,188,drift,6.0
5.783695072828549,-0.02426897393933333,34.02039289474487,0,188,drift,6.0
5.7818383877425035,-0.024270070487250002,34.34518074989319,0,188,drift,6.0
5.781134644201824,-0.024268886215499996,34.64571523666382,0,188,drift,6.0
5.780528226895495,-0.024268623043999998,34.94621300697327,0,188,drift,6.0
