F,V,T1,T2,x,Status
2.049468025432279,-8.447805150000112e-05,14.138347387313843,0,27,drift1.00
2.046805444876388,-8.732907608333465e-05,14.614734888076782,0,27,drift1.00
2.0425587974074992,-8.680273308333403e-05,14.833488702774048,0,27,drift1.00
2.0401209071938777,-7.697766375000525e-05,15.216609239578247,0,27,drift1.00
2.036222529755506,-8.781155716666711e-05,15.61805510520935,0,27,drift1.00
2.033458838545595,-8.43903276666648e-05,15.850220918655396,0,27,drift1.00
2.031223169640015,-8.803086675000099e-05,16.09760022163391,0,27,drift1.00
2.0276281241637077,-8.956603383333123e-05,16.377187967300415,0,27,drift1.00
2.025740725288646,-9.237319650000006e-05,16.940022945404053,0,27,drift1.00
1.9531826414494156,8.506545028800355e-05,92.07741808891296,109.3203330039978,27,up
1.920956384171379,-8.614480433333238e-05,0.2849082946777344,0,27,drift1.50
1.920754162863337,-8.873265741666733e-05,0.5644998550415039,0,27,drift1.50
1.7603065342879005,-8.250426524999965e-05,0.8668539524078369,0,25,drift1.50
1.6089289058620664,-8.219723183333291e-05,1.146686315536499,0,24,drift1.50
1.4628577143528245,-7.496001558333562e-05,1.4266972541809082,0,23,drift1.50
1.3454982037465557,-4.7370870000000564e-05,1.728564739227295,0,22,drift1.50
1.2612093666832827,-7.574953008333482e-05,2.0086214542388916,0,22,drift1.50
1.2736796806792263,-7.710924949999934e-05,2.2885355949401855,0,22,drift1.50
1.279978499940841,-7.381960575000152e-05,2.590613842010498,0,22,drift1.50
1.284161485146087,-6.912638066666754e-05,2.8706328868865967,0,22,drift1.50
1.2873296189720835,-7.513546324999787e-05,3.1826610565185547,0,22,drift1.50
1.290374173109832,-7.224057674999965e-05,3.452288866043091,0,22,drift1.50
1.2925536694298438,-7.794262591666323e-05,3.7325427532196045,0,22,drift1.50
1.2945421789589266,-7.386346766666968e-05,4.012441396713257,0,22,drift1.50
1.2964258329949505,-7.737242100000138e-05,4.314528465270996,0,22,drift1.50
1.2979462376443058,-8.491667066666542e-05,4.594359636306763,0,22,drift1.50
1.2990921583898787,-7.732855908333322e-05,4.874382019042969,0,22,drift1.50
1.3121863925282355,7.553443124400094e-05,115.6566047668457,132.89976811408997,22,up
1.315505787892648,-7.702152566667342e-05,0.2847292423248291,0,22,drift2.00
1.3202242850803023,-7.408277724999662e-05,0.5643913745880127,0,23,drift2.00
1.546611039433689,-7.934620724999938e-05,0.8667106628417969,0,24,drift2.00
1.6771785973263524,-8.1232269666668e-05,1.146528959274292,0,25,drift2.00
1.8502126299079047,-8.228495566666577e-05,1.4265058040618896,0,26,drift2.00
2.0046198331153358,-8.566232324999645e-05,1.7284257411956787,0,27,drift2.00
2.1050788851439193,-9.689097391666485e-05,2.0084352493286133,0,28,drift2.00
2.250678226934396,-8.167088883332882e-05,2.288466691970825,0,28,drift2.00
2.2138215211241623,-8.684659499999525e-05,2.5903372764587402,0,28,drift2.00
2.1995162359996865,-8.20217841666672e-05,2.8703513145446777,0,28,drift2.00
2.188865913776124,-8.206564608332842e-05,3.1504263877868652,0,28,drift2.00
2.1812564008512716,-9.039941025000206e-05,3.4522485733032227,0,28,drift2.00
2.1747441257645015,-8.52237040833391e-05,3.7322566509246826,0,28,drift2.00
2.168205636804466,-9.237319649999659e-05,4.012267351150513,0,28,drift2.00
2.162951627634403,-8.763610949999445e-05,4.314206600189209,0,28,drift2.00
2.1590382708398805,-8.535528983332971e-05,4.5942370891571045,0,28,drift2.00
2.1545894020629492,-8.035503133333594e-05,4.874215602874756,0,28,drift2.00
2.1505487207411402,-9.079416750000166e-05,5.176177501678467,0,28,drift2.00
2.147275731422085,-8.877651933333203e-05,5.456187009811401,0,28,drift2.00
2.1437031549800043,-9.053099599999614e-05,5.736182689666748,0,28,drift2.00
2.140093130147544,-8.960989574999939e-05,6.038139820098877,0,28,drift2.00
2.1380409583548188,-8.43026038333354e-05,6.318156719207764,0,28,drift2.00
2.13463689966944,-9.180299158333127e-05,6.598053932189941,0,28,drift2.00
2.1316447732782207,-8.566232324999645e-05,6.8999269008636475,0,28,drift2.00
2.1295139598657005,-9.088189133333452e-05,7.179997444152832,0,28,drift2.00
2.1273569325799158,-8.724135225000179e-05,7.459956645965576,0,28,drift2.00
2.1249639804347478,-9.000465300000246e-05,7.761956691741943,0,28,drift2.00
2.123009174457006,-9.083802941666635e-05,8.04175853729248,0,28,drift2.00
2.1214251075440074,-8.952217191667e-05,8.321919441223145,0,28,drift2.00
2.119241866384958,-8.171475075000045e-05,8.623749494552612,0,28,drift2.00
2.1173469778318204,-8.697818074999975e-05,8.903790712356567,0,28,drift2.00
2.115291061200057,-8.838176208333243e-05,9.183785676956177,0,28,drift2.00
2.1129205780891165,-8.329377974999885e-05,9.48568058013916,0,28,drift2.00
2.1119207060660177,-8.706590458332913e-05,9.765706539154053,0,28,drift2.00
2.0758020930507834,8.690344004399705e-05,143.98516511917114,161.22839522361755,28,up
2.0491983970215557,-9.123278666666595e-05,0.284635066986084,0,28,drift2.50
2.0490298792648542,-9.009237683333532e-05,0.5643777847290039,0,29,drift2.50
2.300402199678582,-9.987358424999593e-05,0.8666274547576904,0,30,drift2.50
2.3925364745260893,-8.987306725000144e-05,1.1464548110961914,0,31,drift2.50
2.5558301807702697,-9.803138374999548e-05,1.4264602661132812,0,32,drift2.50
2.6630524121011576,-9.98735842499994e-05,1.7284939289093018,0,33,drift2.50
2.7672862618798644,-9.855772674999264e-05,2.0083484649658203,0,33,drift2.50
2.7212809143002343,-9.202230116666862e-05,2.288348436355591,0,33,drift2.50
2.698313816481279,-9.90840697500002e-05,2.5903944969177246,0,33,drift2.50
2.6813085024105345,-9.592601174999646e-05,2.8702995777130127,0,33,drift2.50
2.6698829985061425,-9.588214983333176e-05,3.1502630710601807,0,33,drift2.50
2.658948068515705,-9.355746824999539e-05,3.5094056129455566,0,33,drift2.50
2.650031606766654,-9.417153508333234e-05,3.7820727825164795,0,33,drift2.50
2.641807940239599,-9.110120091666493e-05,4.300341606140137,0,33,drift2.50
2.634411883139903,-9.474173999999419e-05,5.120227336883545,0,33,drift2.50
2.626371713725702,-9.46540161666648e-05,6.035195350646973,0,33,drift2.50
2.6217206236407278,-0.0001005753749166588,6.780200719833374,0,33,drift2.50
2.614848844006327,-9.868931249999713e-05,7.159847021102905,0,33,drift2.50
2.610564748147059,-9.14082343333282e-05,7.484716176986694,0,33,drift2.50
2.60537440124064,-9.254864416666578e-05,7.713779449462891,0,33,drift2.50
2.6012775473332637,-8.882038125000019e-05,7.964335918426514,0,33,drift2.50
2.5982292483564775,-0.00010039992724999655,8.44524097442627,0,33,drift2.50
2.593746676028206,-9.355746824999886e-05,8.792128324508667,0,33,drift2.50
2.5910616264380883,-9.671552624999913e-05,9.0648353099823,0,33,drift2.50
2.586331894733321,-9.860158866666427e-05,9.300053119659424,0,33,drift2.50
2.584714124268982,-0.00010373343291666601,9.545050621032715,0,33,drift2.50
2.581444879788964,-9.513649725000073e-05,9.769854068756104,0,33,drift2.50
2.577636378487501,-0.00010061923683333043,9.996029615402222,0,33,drift2.50
2.5754456476503758,-9.403994933333826e-05,10.220924854278564,0,33,drift2.50
2.5715884634414192,-9.000465299999899e-05,10.78835391998291,0,33,drift2.50
2.5681319770095117,-9.706642158333056e-05,11.50161361694336,0,33,drift2.50
2.505349271201047,9.332693001599252e-05,174.26882410049438,191.51218104362488,33,up
2.4728520373702336,-8.903969083333407e-05,0.2847311496734619,0,33,drift3.00
2.472177966343426,-9.171526775000188e-05,0.5643963813781738,0,33,drift3.00
2.7582312410864134,-9.592601174999646e-05,0.8742353916168213,0,34,drift3.00
2.8909445917477483,-9.667166433333443e-05,1.146442174911499,0,35,drift3.00
3.0541371873379073,-9.934724125000224e-05,1.4266149997711182,0,37,drift3.00
3.1556036010676647,-8.882038125000019e-05,1.7284910678863525,0,38,drift3.00
3.2652225293827577,-0.00010465453316666623,2.008496046066284,0,38,drift3.00
3.2179027433008525,-0.00010496156658333644,2.2885026931762695,0,38,drift3.00
3.193771000541135,-0.00010461067125000154,2.591885566711426,0,38,drift3.00
3.1765147822548565,-0.00010443522358333235,2.8705179691314697,0,38,drift3.00
3.16380854339953,-9.873317441666529e-05,3.150564432144165,0,38,drift3.00
3.1520984317282648,-0.0001054001857500042,3.4524590969085693,0,38,drift3.00
3.142743823811787,-0.00010294391841666334,3.7323477268218994,0,38,drift3.00
3.1356997815816463,-0.00010202281816666312,4.012333154678345,0,38,drift3.00
3.1280415857493025,-0.0001018473704999974,4.31437873840332,0,38,drift3.00
3.1209713296458967,-9.816296949999997e-05,4.594338655471802,0,38,drift3.00
3.1155787614314345,-0.00010439136166666418,4.87438702583313,0,38,drift3.00
3.1105756564769065,-0.0001018473704999974,5.176256895065308,0,38,drift3.00
3.105096956964574,-9.811910758333181e-05,5.456094980239868,0,38,drift3.00
3.100176238468877,-0.00010855824374999754,5.7361907958984375,0,38,drift3.00
3.0953566306272013,-0.00010224212775000047,6.038057327270508,0,38,drift3.00
3.0905033192341858,-0.00010803190074999344,6.39199686050415,0,38,drift3.00
3.0881440706403587,-9.991744616666756e-05,6.619153738021851,0,38,drift3.00
3.0832832695692667,-9.789979799999793e-05,6.900210618972778,0,38,drift3.00
3.0791115188811347,-0.00010399660441666111,7.180194616317749,0,38,drift3.00
3.0769207880440095,-0.00010412819016666561,7.461297512054443,0,38,drift3.00
3.0730673486740914,-9.71102835000022e-05,8.073424816131592,0,38,drift3.00
3.069944152916549,-0.00010355798525000029,8.415292024612427,0,38,drift3.00
