F,V,T1,T2,x,Status,F_set
0.7106618555380438,-0.0002805846809166637,0.30446743965148926,0,0,drift,1.0
1.3570622666953462,-0.00032843803199999674,1.855980396270752,0,9,drift,1.0
1.3821377088925952,-0.0003254992835833269,2.4568731784820557,0,10,drift,1.0
1.4195561405585013,-0.00031935861524999554,2.7839462757110596,0,10,drift,1.0
1.4018542864267223,-0.00033058726591666393,3.081998109817505,0,10,drift,1.0
1.391338778408521,-0.00033291194749999337,3.382657051086426,0,10,drift,1.0
1.3834858509462105,-0.000329622303749999,3.7075817584991455,0,10,drift,1.0
1.3765092158187502,-0.00033172767574999804,4.008031606674194,0,10,drift,1.0
1.3713862760150113,-0.0003378683440833294,4.308480262756348,0,10,drift,1.0
1.3671583527413118,-0.0003410702639999978,4.633321285247803,0,10,drift,1.0
1.3625222420124892,-0.000343219497916665,4.962985038757324,0,10,drift,1.0
1.359185590429791,-0.0003368595199999998,5.456806659698486,0,10,drift,1.0
1.355714124641731,-0.000331596089999997,5.886022090911865,0,10,drift,1.0
1.3523100659563516,-0.0003293152703333288,6.135837554931641,0,10,drift,1.0
1.3498834102598436,-0.00034484238883333157,6.389867305755615,0,10,drift,1.0
1.3472058503478017,-0.0003387017205000002,6.963131666183472,0,10,drift,1.0
1.3447604704561047,-0.00033659634849999773,7.355575323104858,0,10,drift,1.0
1.341929372143512,-0.0003338769096666652,7.712977886199951,0,10,drift,1.0
1.3400457181074885,-0.0003422545357500001,8.03192663192749,0,10,drift,1.0
1.3379523530853465,-0.0003487022374999982,8.281679630279541,0,10,drift,1.0
1.3365031003777097,-0.0003341839430833285,8.52176547050476,0,10,drift,1.0
1.334323604057698,-0.00032093764424999394,8.758804082870483,0,10,drift,1.0
1.332627191973565,-0.0003339646334999946,8.99827790260315,0,10,drift,1.0
1.3310094215092263,-0.0003305872659166674,9.233185291290283,0,10,drift,1.0
1.3288711184186306,-0.0003355436624999965,9.471686363220215,0,10,drift,1.0
1.3275379557211664,-0.00033782448216666816,9.711008787155151,0,10,drift,1.0
1.3264257385269338,-0.0003378244821666647,9.956539630889893,0,10,drift,1.0
1.3248566509700868,-0.0003252799739999965,10.188429355621338,0,10,drift,1.0
1.3232913082522775,-0.0003265519695833316,10.48848581314087,0,10,drift,1.0
1.3219094626473216,-0.0003368156580833316,10.789026021957397,0,10,drift,1.0
1.3201830918508861,-0.000339885992249999,11.114015817642212,0,10,drift,1.0
1.319010957232048,-0.00032940299416666513,11.414310932159424,0,10,drift,1.0
1.3179324435891557,-0.000331464504249996,11.714608669281006,0,10,drift,1.0
1.316618005086881,-0.0003434388074999954,12.039809465408325,0,10,drift,1.0
1.315337270135946,-0.00033133291849999844,12.340147018432617,0,10,drift,1.0
1.3141576458390325,-0.0003260256265833275,12.645172595977783,0,10,drift,1.0
1.2904209087010239,0.00033533523067200144,63.67144274711609,82.19261360168457,10,up,1.0
1.271590060496122,-0.00034177205466666763,0.30483508110046387,0,10,drift,2.0
1.454757627514018,-0.00032883278924999634,0.9303081035614014,0,11,drift,2.0
1.5276359400290505,-0.00033549980058333526,1.5307698249816895,0,12,drift,2.0
1.6187029357507787,-0.0003251483882499989,2.1565489768981934,0,13,drift,2.0
1.6771411489359738,-0.0003414650212500009,2.7817580699920654,0,14,drift,2.0
1.7724248334142887,-0.00033813151558333143,3.382672071456909,0,15,drift,2.0
1.8506507760753297,-0.00032979775141666473,4.008054971694946,0,16,drift,2.0
1.905965793502982,-0.0003465968655000026,4.633548259735107,0,17,drift,2.0
2.0001934333726314,-0.00034769341341666163,5.234055519104004,0,18,drift,2.0
1.9861652663369544,-0.00036001861199999943,5.559274673461914,0,19,drift,2.0
2.0734649539866354,-0.00035286911958332806,5.859695672988892,0,19,drift,2.0
2.042019540586053,-0.00035414111516666666,6.160002708435059,0,19,drift,2.0
2.0259803949870667,-0.0003552815249999973,6.736668109893799,0,19,drift,2.0
2.0152252172704443,-0.00034576348908333526,7.372345447540283,0,19,drift,2.0
2.006597108127305,-0.0003442283219999981,7.666762590408325,0,19,drift,2.0
1.9998863565715304,-0.0003422545357500001,7.9381794929504395,0,19,drift,2.0
1.9934864266558943,-0.0003550183534999987,8.192045211791992,0,19,drift,2.0
1.9885994117115382,-0.00035953613091667044,8.460922002792358,0,19,drift,2.0
1.9835888170789338,-0.00033949123499999595,8.720133543014526,0,19,drift,2.0
1.979465749298293,-0.0003528252576666703,8.966846704483032,0,19,drift,2.0
1.9760616906129138,-0.0003540533913333338,9.213897466659546,0,19,drift,2.0
1.9715753734456045,-0.00033909647774999635,9.674301624298096,0,19,drift,2.0
1.9682087631506033,-0.0003439651504999995,9.90791654586792,0,19,drift,2.0
1.965411368389351,-0.00034352653133333175,10.143636465072632,0,19,drift,2.0
1.9625578010425317,-0.00034817589449999756,10.377113819122314,0,19,drift,2.0
1.95924361849406,-0.00034848292791666777,10.625738143920898,0,19,drift,2.0
1.9560754846680632,-0.00033264877599999826,10.888288259506226,0,19,drift,2.0
1.9532406415164332,-0.0003509391952499982,11.1527099609375,0,19,drift,2.0
1.9508177306589634,-0.0003426492929999962,11.41435980796814,0,19,drift,2.0
1.9491662566432841,-0.0003519480193333313,11.71514081954956,0,19,drift,2.0
1.946529889960658,-0.00035528152500000076,12.039884805679321,0,19,drift,2.0
1.944683684315012,-0.00035269367191666234,12.340376615524292,0,19,drift,2.0
1.9425603605805675,-0.0003609835741666609,12.699625968933105,0,19,drift,2.0
1.9403284365140265,-0.0003517287097500009,12.96537733078003,0,19,drift,2.0
