u,t
-0.025030767708,0.836949348449707
-0.025037083824,0.836949348449707
-0.025065506346,0.836949348449707
-0.025037083824,0.836949348449707
-0.025021293534,0.836949348449707
-0.025030767708,0.836949348449707
-0.025033925766,0.836949348449707
-0.025037083824,0.836949348449707
-0.02505919023,0.836949348449707
-0.025033925766,0.836949348449707
-0.02502760965,0.836949348449707
-0.02502760965,0.836949348449707
-0.025033925766,0.836949348449707
-0.025037083824,0.836949348449707
-0.02502760965,0.836949348449707
-0.024992871012,0.836949348449707
-0.02502760965,0.836949348449707
-0.02502760965,0.836949348449707
-0.025037083824,0.836949348449707
-0.02504339994,0.836949348449707
-0.025065506346,0.836949348449707
-0.025037083824,0.836949348449707
-0.02502760965,0.836949348449707
-0.025033925766,0.836949348449707
-0.025040241882,0.836949348449707
-0.025008661302,0.836949348449707
-0.02499602907,0.836949348449707
-0.025021293534,0.836949348449707
-0.02502760965,0.836949348449707
-0.025033925766,0.836949348449707
-0.02504339994,0.836949348449707
-0.024999187128,0.836949348449707
-0.025014977418,0.836949348449707
-0.025014977418,0.836949348449707
-0.025033925766,0.836949348449707
-0.025030767708,0.836949348449707
-0.025040241882,0.836949348449707
-0.02501181936,0.836949348449707
-0.02501181936,0.836949348449707
-0.025024451592,0.836949348449707
-0.02502760965,0.836949348449707
-0.025030767708,0.836949348449707
-0.025018135476,0.836949348449707
-0.024989712954,0.836949348449707
-0.025084454694,0.836949348449707
-0.025024451592,0.836949348449707
-0.025033925766,0.836949348449707
-0.025037083824,0.836949348449707
-0.02501181936,0.836949348449707
-0.025116035274,0.836949348449707
-0.025021293534,1.6702649593353271
-0.025021293534,1.6702649593353271
-0.025040241882,1.6702649593353271
-0.02504339994,1.6702649593353271
-0.02504339994,1.6702649593353271
-0.024986554896,1.6702649593353271
-0.02502760965,1.6702649593353271
-0.02502760965,1.6702649593353271
-0.025037083824,1.6702649593353271
-0.025014977418,1.6702649593353271
-0.024992871012,1.6702649593353271
-0.025018135476,1.6702649593353271
-0.02502760965,1.6702649593353271
-0.025033925766,1.6702649593353271
-0.025037083824,1.6702649593353271
-0.025037083824,1.6702649593353271
-0.025014977418,1.6702649593353271
-0.02501181936,1.6702649593353271
-0.025021293534,1.6702649593353271
-0.025037083824,1.6702649593353271
-0.025037083824,1.6702649593353271
-0.025024451592,1.6702649593353271
-0.025002345186,1.6702649593353271
-0.025024451592,1.6702649593353271
-0.02502760965,1.6702649593353271
-0.025033925766,1.6702649593353271
-0.025040241882,1.6702649593353271
-0.025021293534,1.6702649593353271
-0.025024451592,1.6702649593353271
-0.025021293534,1.6702649593353271
-0.025021293534,1.6702649593353271
-0.025037083824,1.6702649593353271
-0.02504339994,1.6702649593353271
-0.025018135476,1.6702649593353271
-0.024983396838,1.6702649593353271
-0.025024451592,1.6702649593353271
-0.025040241882,1.6702649593353271
