i,Iter,F,V,T1,T2,x,Status
47,0,1.0571815482891096,7.023520992000334e-05,265.29668283462524,266.16337609291077,47,bothold
48,0,1.0634369274178859,7.794087144000553e-05,267.1459584236145,268.01262521743774,47,bothold
49,0,1.0692932564987914,5.2802729760003525e-05,269.00841999053955,269.8751299381256,47,bothold
50,0,1.0748260314868296,5.8739878799996675e-05,270.889164686203,271.75585532188416,47,bothold
51,0,1.0796901280162745,7.478281343999832e-05,272.7345938682556,273.60124611854553,47,bothold
52,0,1.0848130678200134,7.377223488000059e-05,274.59434962272644,275.46105337142944,47,bothold
53,0,1.0889761304815782,7.516178039999877e-05,276.4438409805298,277.3105185031891,47,bothold
54,0,1.092815639050275,5.6087110079997005e-05,278.30231285095215,279.16904377937317,47,bothold
55,0,1.0969139908932664,6.050839128000571e-05,280.15848994255066,281.0251135826111,47,bothold
56,0,1.1007103589162477,7.048785456000017e-05,282.01740169525146,282.88410544395447,47,bothold
57,0,1.1039890403906407,7.844616072000613e-05,283.87265157699585,284.7393503189087,47,bothold
58,0,1.1074187137750386,4.901306015999904e-05,285.7442443370819,286.61090421676636,47,bothold
59,0,1.110460122247995,6.455070551999662e-05,287.6057782173157,288.4725458621979,47,bothold
60,0,1.113728018585959,6.834037512000804e-05,289.4431974887848,290.30994606018066,47,bothold
61,0,1.1164135175567613,6.947727600000592e-05,291.3020875453949,292.16873002052307,47,bothold
62,0,1.1193578598018574,7.099314384000424e-05,293.14712738990784,294.0137069225311,47,bothold
63,1,1.1283998485554567,7.13247399300003e-05,296.5032298564911,303.40344619750977,47,zero
64,1,1.7393292941400817,7.441963676999702e-05,305.9406123161316,312.84081292152405,52,up
65,1,2.311739624968803,8.7588738629997e-05,315.345654964447,322.2460181713104,57,up
66,1,2.9349816519290997,9.576810885000148e-05,324.75351881980896,331.6538779735565,62,up
67,1,3.5719585501316296,0.00011056361058000425,334.1627736091614,341.06312131881714,67,up
68,1,4.208330132552086,0.00011231633277000372,343.56383657455444,350.4640827178955,72,up
69,1,4.8075604013954365,0.00012452222694000342,352.9688992500305,359.8693025112152,77,up
70,1,5.493369701064026,0.000135717542549995,362.38978910446167,369.2900297641754,82,up
71,1,6.2459902246256975,0.00014486012045999974,371.8123836517334,378.71276021003723,87,up
72,1,6.897382805807538,0.00015450798764999815,381.22905802726746,388.1293022632599,92,up
73,1,7.447713266082144,0.00016815079821000042,390.6349558830261,397.5354092121124,97,up
74,1,7.320379900976104,0.00014830240368000208,398.5464723110199,399.41314721107483,97,tophold
75,1,7.286449861770709,0.00016661914008000295,400.41646003723145,401.2831959724426,97,tophold
76,1,7.255723008084704,0.00017609331408000375,402.2832489013672,403.1499364376068,97,tophold
77,1,7.228501323738101,0.0001563870321599943,404.1389400959015,405.0056703090668,97,tophold
78,1,7.203307245040134,0.00016535591688000492,406.02871346473694,406.8954532146454,97,tophold
79,1,7.18128399645227,0.00017836711584000645,407.88813304901123,408.754759311676,97,tophold
80,1,7.161191287285184,0.0001739458346400012,409.7584810256958,410.62504029273987,97,tophold
81,1,7.141821182258837,0.00015360794111999448,411.6153976917267,412.48211336135864,97,tophold
82,1,7.124047277423968,0.0001597977348000018,413.4725959300995,414.339252948761,97,tophold
83,1,7.106629282091257,0.00016093463567999622,415.33243799209595,416.1991069316864,97,tophold
84,1,7.090699635585736,0.000171293065920005,417.1912033557892,418.05783200263977,97,tophold
85,1,7.075287675628803,0.00017407215696000136,419.03958654403687,419.9064197540283,97,tophold
86,1,7.059951211626874,0.000146154924240003,420.9286558628082,421.7953441143036,97,tophold
87,1,7.045046153082101,0.00016737707400000038,422.78849744796753,423.65523886680603,97,tophold
88,1,7.030788202723063,0.00015171310632000265,424.64176201820374,425.50842213630676,97,tophold
89,1,7.017382278141908,0.00016358740440001324,426.50720262527466,427.3739137649536,97,tophold
90,1,7.004450899563627,0.00019024141392000316,428.3639500141144,429.2305693626404,97,tophold
91,1,6.991778364259643,0.00016333475976000253,430.23053669929504,431.0970149040222,97,tophold
92,1,6.980561822373562,0.00013958616359999523,432.09248518943787,432.95925998687744,97,tophold
93,1,6.969614908898205,0.00013352269224000193,433.9569458961487,434.8235547542572,97,tophold
94,1,5.854903651866208,0.00014677074554999767,437.3337941169739,444.23416209220886,92,down
95,1,4.867113228471848,0.00012133258836000832,446.7845938205719,453.6848940849304,87,down
96,1,3.958753986734459,0.00011569545483000251,456.35847449302673,463.2588427066803,82,down
97,1,3.1914885960443633,0.0001033158674699948,465.9723536968231,472.87286257743835,77,down
98,1,2.629058560838557,9.892616685000175e-05,475.44227719306946,482.3426847457886,72,down
99,1,2.139840727996396,8.171475074999698e-05,484.8607211112976,491.7609963417053,67,down
100,1,1.7021744991424375,7.88251276799927e-05,494.28486371040344,501.1852707862854,62,down
101,1,1.335239891273472,7.678818027000156e-05,503.70728635787964,510.60757994651794,57,down
102,1,1.0418194695881609,7.222478645999703e-05,513.1267037391663,520.0271418094635,52,down
103,1,0.8225603422722395,6.674555583000355e-05,522.5496282577515,529.4499890804291,47,down
104,1,0.8565132998925462,7.794087143999859e-05,530.4657287597656,531.3323428630829,47,bothold
105,1,0.8640736805292222,6.556128407999781e-05,532.3292241096497,533.1958980560303,47,bothold
106,1,0.8726370788537879,7.137211079999775e-05,534.2001807689667,535.0669231414795,47,bothold
107,1,0.8793670039854367,7.010888759999973e-05,536.051917552948,536.9188632965088,47,bothold
108,1,0.8864959791649557,6.227690375999739e-05,537.9222583770752,538.7889316082001,47,bothold
109,1,0.8915865635594078,6.947727600000245e-05,539.7921476364136,540.6588072776794,47,bothold
110,1,0.8982302075996251,7.250901167999563e-05,541.6719002723694,542.5385806560516,47,bothold
111,1,0.9043669502276829,5.507653151999928e-05,543.5286295413971,544.3953857421875,47,bothold
112,1,0.9094575346221351,7.023520991999987e-05,545.4147617816925,546.2810752391815,47,bothold
113,1,0.9143863419701534,7.440384647999787e-05,547.2487931251526,548.1155152320862,47,bothold
114,1,0.9188513884517281,7.705661520000101e-05,549.1155755519867,549.9823117256165,47,bothold
115,1,0.9227232524297119,8.362537584000185e-05,550.9839534759521,551.8508496284485,47,bothold
116,1,0.9265735461348377,7.301430096000316e-05,552.8525805473328,553.7192015647888,47,bothold
117,1,0.9307150385235448,5.39396306400014e-05,554.7157807350159,555.5824511051178,47,bothold
118,1,0.933659380768641,8.109892943999886e-05,556.5841553211212,557.450879573822,47,bothold
119,1,0.9372400460630439,8.071996248000535e-05,558.4384031295776,559.3050768375397,47,bothold
120,1,0.9403785207638607,8.918355792000149e-05,560.3017327785492,561.1686434745789,47,bothold
121,1,0.9429993089160893,6.770876352000382e-05,562.1853199005127,563.0520570278168,47,bothold
122,1,0.9458573700697545,5.949781271999757e-05,564.050840139389,564.9175262451172,47,bothold
123,1,0.9485320839041275,7.756190448000161e-05,565.9202101230621,566.7867615222931,47,bothold
124,2,0.9568204612497557,6.642975003000318e-05,569.2940938472748,576.1944205760956,47,zero
125,2,1.5095142145443503,7.584076286999697e-05,578.7379360198975,585.6382040977478,52,up
126,2,2.0619841762580453,9.737871842999818e-05,588.1540277004242,595.0543873310089,57,up
127,2,2.6521077455292215,9.982621338000194e-05,597.5666666030884,604.466968536377,62,up
128,2,3.2652076998201682,0.0001011683880299992,606.9952254295349,613.8955273628235,67,up
129,2,3.889330063541474,0.00011901141573000124,616.4248294830322,623.3253562450409,72,up
130,2,4.48005760045267,0.00012556438608000292,625.8400857448578,632.7404131889343,77,up
131,2,5.163561577209578,0.00013383849803999884,635.2563898563385,642.1565692424774,82,up
132,2,5.858228170170424,0.00014179680420000132,644.6726531982422,651.5729625225067,87,up
133,2,6.4815349079492925,0.00015258157226999414,654.1042106151581,661.0043852329254,92,up
134,2,7.087117622149279,0.00016368214613999774,663.5304853916168,670.4307720661163,97,up
135,2,6.990052742431015,0.00017002984271999658,671.4359526634216,672.302615404129,97,tophold
136,2,6.96493415968805,0.00016762971864000414,673.3090209960938,674.1756806373596,97,tophold
137,2,6.94209124073159,0.0001880939344800006,675.1663284301758,676.0330443382263,97,tophold
