i,W,V
0,0.0,1.8372677978171427e-05
1,20.0,0.00020178425351470474
2,40.0,0.000386370025018019
3,60.0,0.0005761109499205714
4,80.0,0.0007624044787751618
5,100.0,0.0009486986091645713
6,120.0,0.0011439231254775617
7,140.0,0.0013313433290482284
8,160.0,0.0015211245567836567
9,180.0,0.0017048573519135618
10,200.0,0.0018902858736983617
