i,W,V
0,0.0,-0.00020184020903542854
1,10.0,-0.0002979293871154286
2,30.0,-0.0005257444728171427
3,60.0,-0.0008741330098891428
4,80.0,-0.0011001314603222856
5,180.0,-0.002257713710245714
6,170.0,-0.0021470770131805715
7,190.0,-0.0023732228396537145
8,200.0,-0.0024838228430925716
9,205.0,-0.0025403971964068567
