i,W,V
0,0.0,-0.00020072015113142857
1,20.0,-0.00041294164873142855
2,40.0,-0.0006402977633371428
3,60.0,-0.0008730706993314286
4,80.0,-0.001100726979830857
5,100.0,-0.0013293727851702857
6,120.0,-0.0015692360125257145
7,140.0,-0.0017952152138434286
8,160.0,-0.0020268735057474285
9,180.0,-0.002254550839966857
10,200.0,-0.0024814762556148577
