i,W,V
0,0.0,-0.00021014740541257143
1,20.0,-0.00041291939194171425
2,40.0,-0.0006376816882434285
3,60.0,-0.0008681904470354284
4,80.0,-0.0010954449022502857
5,100.0,-0.0013246838209588568
6,120.0,-0.0015607279035062854
7,140.0,-0.0017899620099360001
8,160.0,-0.002024169005029714
9,180.0,-0.0022450880951291425
10,200.0,-0.0024731245456582856
