i,W,V
0,0,-0.00012013985613362963
1,20,-0.0003329228642437037
2,40,-0.0005608490333823703
3,60,-0.0007933885404334814
4,80,-0.0010211578983465187
5,100,-0.0012503398049180739
6,120,-0.0014779138310955554
7,140,-0.0017170361346
8,160,-0.0019502189497622219
9,180,-0.002177925458422222
10,200,-0.0024032938345111107
