i,W,V
0,0.0,0.00012269686164559997
1,20.0,0.0004926690474963809
2,40.0,0.0008652753543197713
3,60.0,0.0012603766572362666
4,80.0,0.0016363924634140187
5,100.0,0.0020119968197755424
6,120.0,0.002371172057159238
7,140.0,0.002741588777241295
8,160.0,0.0031223248271441146
9,180.0,0.003495652374215542
10,200.0,0.0038804812670271615
