i,Iter,F,V,T1,T2,x,Status
0,0,0.770462740752321,6.74087480100026e-05,3.73814058303833,10.638484716415405,0,zero
1,0,0.11190882898167431,6.363486869999727e-05,13.138561487197876,20.038787841796875,-29,up
2,0,0.21749666276289564,6.308220854999574e-05,22.55910563468933,29.459410905838013,-26,up
3,0,0.31486352630116954,7.148264283000222e-05,31.983826160430908,38.884135484695435,-23,up
4,0,0.4110426766902083,6.83877459900055e-05,41.39689350128174,48.29733419418335,-20,up
5,0,0.5299366725406148,6.196109796000049e-05,50.80667972564697,57.70701789855957,-17,up
6,0,0.6960452993927443,6.543496176000113e-05,60.26637935638428,67.16662001609802,-14,up
7,0,0.8732343057835396,6.980887209000544e-05,69.69806098937988,76.59833192825317,-11,up
8,0,1.0742018417160057,6.526126856999659e-05,79.1304259300232,86.0306806564331,-8,up
9,0,1.3026714755422282,7.903040145000248e-05,88.57065343856812,95.47095251083374,-5,up
10,0,1.4999841983673423,8.447805150000112e-05,98.00615549087524,104.90652656555176,-2,up
11,0,1.7298383740826282,8.384643990000384e-05,107.42449641227722,114.32481050491333,1,up
12,0,1.9638286496184065,8.63255154299955e-05,116.84110832214355,123.74119186401367,4,up
13,0,2.253416303445289,9.360483911999978e-05,126.2621386051178,133.1623466014862,7,up
14,0,2.530022697437907,8.946778314000356e-05,135.69388699531555,142.594313621521,10,up
15,0,2.860424003795946,0.00010131050064000197,145.10930466651917,152.0096263885498,13,up
16,0,3.129645275618859,0.00010262109471000092,154.51393389701843,161.41421627998352,16,up
17,0,3.525693011135652,0.00010693184388000515,163.9265604019165,170.82689666748047,19,up
18,0,3.8341937498327057,0.0001096004028900005,173.35896706581116,180.25917673110962,22,up
19,0,4.168561290112482,0.00011586914801999665,182.7880163192749,189.68837332725525,25,up
20,0,4.4956583002971096,0.00012865928292000312,192.2166121006012,199.11680960655212,28,up
21,0,4.920573801607971,0.00013063306917000458,201.62878584861755,208.52908611297607,31,up
22,0,5.298180301973358,0.00014100728969999865,211.03917932510376,217.93945503234863,34,up
23,0,5.6308869312430785,0.00014421271856999984,220.48004031181335,227.3803746700287,37,up
24,0,6.039289040539205,0.00014326530116999525,229.9035460948944,236.80413150787354,40,up
25,0,6.390965376645349,0.00015144467138999626,239.3261387348175,246.22650575637817,43,up
26,0,6.670931340635576,0.00015359215082999533,248.73218441009521,255.63250494003296,46,up
27,0,7.045903571428198,0.00016481904702000255,258.1383948326111,265.0386745929718,49,up
28,0,6.974092844933071,0.00017444510857143186,266.0711784362793,267.4979202747345,49,tophold
29,0,6.950306358065133,0.0001650461264285745,268.5103075504303,269.93686032295227,49,tophold
30,0,6.929623886071861,0.00018218986985714392,270.9590263366699,272.385769367218,49,tophold
31,0,6.908513954403054,0.00015339138857143123,273.39324975013733,274.8198788166046,49,tophold
32,0,6.891731229911215,0.00016918167857143257,275.8151614665985,277.24172854423523,49,tophold
33,0,6.876191426629782,0.00015617348728571429,278.2313873767853,279.65802788734436,49,tophold
34,0,6.860362266029526,0.0001541433071428587,280.66856694221497,282.0951910018921,49,tophold
35,0,6.846505996239438,0.00015639906285714114,283.1060299873352,284.5329554080963,49,tophold
36,0,6.834260920610989,0.00016068499871429304,285.5224440097809,286.94916558265686,49,tophold
37,0,6.822331507512167,0.00016166249285714043,287.9550926685333,289.3817837238312,49,tophold
38,0,6.005353608765594,0.00015109728501000105,291.902704000473,298.80298233032227,46,down
39,0,5.344827365170507,0.00013459643195999627,301.35484313964844,308.2551836967468,43,down
40,0,4.779931578148639,0.0001250906773800041,310.78059482574463,317.6808497905731,40,down
41,0,4.265382156119042,0.0001264960131900049,320.1965093612671,327.09690856933594,37,down
42,0,3.7165710519388595,0.00011364271713000182,329.6190576553345,336.51945877075195,34,down
43,0,3.207079858894427,0.00010737397199999874,339.0324127674103,345.93279552459717,31,down
44,0,2.7952912167596193,9.778926596999693e-05,348.45275235176086,355.3532061576843,28,down
45,0,2.4414511126574214,9.437856332999636e-05,357.88457775115967,364.78502559661865,25,down
46,0,2.178214243410508,9.047836169999088e-05,367.3066656589508,374.20697140693665,22,down
47,0,1.9091857559012617,8.743083572999855e-05,376.73154067993164,383.6318426132202,19,down
48,0,1.6397406924974494,8.484122817000242e-05,386.158816576004,393.05911016464233,16,down
49,0,1.4100860418060985,7.509861923999869e-05,395.59508514404297,402.49541783332825,13,down
50,0,1.1868027104601349,7.519336098000054e-05,405.0210461616516,411.92147636413574,10,down
51,0,0.9996347565884772,7.175107776000167e-05,414.44172978401184,421.3417754173279,7,down
52,0,1.0319430137848868,7.40639792857177e-05,422.3971858024597,423.82377338409424,7,bothold
53,0,1.042517708527393,7.87258744285764e-05,424.8585207462311,426.2852580547333,7,bothold
54,0,1.051316801540747,7.25601421428558e-05,427.2890634536743,428.71573638916016,7,bothold
55,0,1.0589584652788018,7.150745614285803e-05,429.71995973587036,431.14663791656494,7,bothold
56,0,1.0659424987468005,7.030438642857684e-05,432.15250158309937,433.57930731773376,7,bothold
57,0,1.0723543938798499,7.18082235714318e-05,434.5852072238922,436.0119254589081,7,bothold
58,0,1.0779310985699277,7.57182001428526e-05,437.0075476169586,438.43421244621277,7,bothold
59,0,1.0834946506546044,6.661998542857248e-05,439.43059635162354,440.8572299480438,7,bothold
60,0,1.088624166761044,7.037957828570987e-05,441.86170649528503,443.28839588165283,7,bothold
61,0,1.0937668354728844,5.767215442856882e-05,444.28623938560486,445.71294832229614,7,bothold
62,1,1.105389759984347,7.307746211999977e-05,448.2093253135681,455.1098916530609,7,zero
63,1,1.59174818353079,7.647237446999772e-05,457.6762812137604,464.5766966342926,10,up
64,1,2.0422568135874895,8.607287079000214e-05,467.10028195381165,474.00054717063904,13,up
65,1,2.4295699367389076,8.79519152999983e-05,476.52468943595886,483.4250297546387,16,up
66,1,2.8446237789275726,9.793137857999276e-05,485.93908500671387,492.8393304347992,19,up
67,1,3.202035111329798,0.0001047212032799956,495.3736605644226,502.27407789230347,22,up
68,1,3.5613756350107475,0.00010693184387999821,504.7995276451111,511.6998965740204,25,up
69,1,3.9257258545629323,0.00011206368813000342,514.2240951061249,521.1244390010834,28,up
70,1,4.31861354510605,0.0001203062195100045,523.6613004207611,530.5615947246552,31,up
71,1,4.81347200430054,0.00012597493362000167,533.0862259864807,539.9865627288818,34,up
72,1,5.204812027766107,0.00013308056411999794,542.513350725174,549.4136137962341,37,up
73,1,5.573589545822363,0.00013802292488999945,551.9527425765991,558.8531665802002,40,up
74,1,6.0075375988924495,0.00015169731603000003,561.3910381793976,568.2913076877594,43,up
75,1,6.41692520002977,0.00015673441853999992,570.8120577335358,577.712495803833,46,up
76,1,6.767504148504273,0.0001562607098400011,580.2320296764374,587.1324000358582,49,up
77,1,7.089348797248013,0.0001676455089300033,589.6669986248016,596.5674755573273,52,up
78,1,7.020028319296508,0.00015692540585714176,597.600065946579,599.0267779827118,52,tophold
79,1,6.997589974482185,0.0001606849987142861,600.0505023002625,601.4770972728729,52,tophold
80,1,6.977578285364369,0.00015594791171428396,602.4799869060516,603.9066920280457,52,tophold
81,1,6.95914490889469,0.00017670086428570736,604.9050860404968,606.331812620163,52,tophold
82,1,6.942993509462107,0.0001574517488571424,607.3338391780853,608.7604875564575,52,tophold
83,1,6.92738136685097,0.00018098680014285926,609.757036447525,611.1836700439453,52,tophold
84,1,6.912019123742453,0.00015918116157143114,612.193749666214,613.6205487251282,52,tophold
85,1,6.898149701346964,0.0001845208174285698,614.6187708377838,616.0454587936401,52,tophold
86,1,6.886016422864423,0.00015985788828571518,617.0807445049286,618.5076677799225,52,tophold
87,1,6.874955081722077,0.00016752745771428726,619.5111930370331,620.9378542900085,52,tophold
88,1,5.981239391852574,0.0001457759572799991,623.4422051906586,630.3425414562225,49,down
89,1,5.266436949178926,0.0001409914994099995,632.9055807590485,639.8058898448944,46,down
90,1,4.790277220268085,0.00012845400915000374,642.3324108123779,649.2328839302063,43,down
91,1,4.2645112563524075,0.00011989567196999881,651.7700066566467,658.6702632904053,40,down
92,1,3.7262385786053365,0.00012036938067000458,661.2072143554688,668.1075489521027,37,down
93,1,3.2327511798793744,0.00010661603807999437,670.6251442432404,677.5255513191223,34,down
94,1,2.8003400087504096,9.82471843799966e-05,680.0566701889038,686.9569592475891,31,down
95,1,2.4536423612482663,9.281532461999364e-05,689.494446516037,696.3948934078217,28,down
96,1,2.1627914983171457,9.1646843159994e-05,698.9241778850555,705.8245251178741,25,down
97,1,1.9134283589439902,8.743083572999855e-05,708.364241361618,715.2647631168365,22,down
98,1,1.6399253879587947,9.261005084999774e-05,717.7965836524963,724.6968116760254,19,down
99,1,1.414745220743394,7.678818026999809e-05,727.2268002033234,734.1271271705627,16,down
100,1,1.1840942930744212,7.336168733999837e-05,736.6702709197998,743.5705845355988,13,down
101,1,0.9990429222269402,6.917726049000122e-05,746.1031634807587,753.0034725666046,10,down
102,1,1.031712843190367,7.256014214285927e-05,754.0342984199524,755.46111536026,10,bothold
103,1,1.0425177085273931,7.135707242857114e-05,756.4871804714203,757.9139831066132,10,bothold
104,1,1.0517574138216848,6.744709585713646e-05,758.9114537239075,760.3382029533386,10,bothold
105,1,1.0597541979055698,6.579287500000155e-05,761.3591182231903,762.7858612537384,10,bothold
106,1,1.0671854199572068,8.180874057142976e-05,763.7952673435211,765.2220313549042,10,bothold
107,1,1.073709112236166,6.849978185714464e-05,766.2502279281616,767.6769299507141,10,bothold
108,1,1.0795028349153626,7.722203728571103e-05,768.6873087882996,770.1139717102051,10,bothold
109,1,1.0854412362539714,6.233404957142752e-05,771.138738155365,772.5653109550476,10,bothold
110,1,1.090551023452309,6.639440985714562e-05,773.5740473270416,775.0005621910095,10,bothold
111,1,1.095614776531743,6.40634622857128e-05,776.0051658153534,777.4318850040436,10,bothold
112,-1,-0.00011167243983333311,1.1224855493662458,0.2952735424041748,0.0,11,bot2mid
113,-1,-0.00010706693858333546,2.1003266844049246,0.6775391101837158,0.0,20,bot2mid
114,-1,-9.592601174999993e-05,3.0385249533892313,0.970501184463501,0.0,24,bot2mid
115,-1,-0.00010855824374999754,3.3447292069947334,1.2511672973632812,0.0,24,bot2mid
116,-1,-0.00011320760691667028,3.2845009607494595,1.5218570232391357,0.0,24,bot2mid
117,-1,-0.00010461067125000154,3.2482359395072016,1.7843573093414307,0.0,24,bot2mid
118,-1,-0.00010746169583332812,3.2238345683367613,2.034003257751465,0.0,24,bot2mid
119,-1,-0.000107066938583332,3.2051965044455266,2.298825979232788,0.0,24,bot2mid
120,-1,-0.00010461067124999807,3.1891573588465394,2.6010992527008057,0.0,24,bot2mid
121,-1,-0.00010254916116666721,3.1764473751521756,2.880756139755249,0.0,24,bot2mid
122,-1,-0.00011219878283333026,3.164111875361594,3.1795599460601807,0.0,24,bot2mid
123,-1,-0.00010303164224999967,3.153626326055695,3.4628958702087402,0.0,24,bot2mid
124,-1,-0.0001054879095833336,3.1451367759569546,3.7429730892181396,0.0,24,bot2mid
125,-1,-0.00010518087616666338,3.1374523662513467,4.022978067398071,0.0,24,bot2mid
126,-1,-8.724135225000179e-05,3.129839108487457,4.324883460998535,0.0,24,bot2mid
127,-1,-8.544301366666604e-05,3.1230946533803414,4.604896068572998,0.0,24,bot2mid
128,-1,-8.430260383333193e-05,3.1173313461011345,4.884892225265503,0.0,24,bot2mid
129,-1,-0.00012237474750000088,3.111534335270588,5.1868133544921875,0.0,24,bot2mid
130,-1,-7.785490208333384e-05,3.106647320326232,5.466840028762817,0.0,24,bot2mid
131,-1,-7.553022050000094e-05,3.102333265754662,5.7468507289886475,0.0,24,bot2mid
132,-1,-0.00012000620399999634,3.0970942359407503,6.048861503601074,0.0,24,bot2mid
133,-1,-0.00010338253758333457,3.093098492687396,6.328779697418213,0.0,24,bot2mid
134,-1,-9.961041274999735e-05,3.0892562878345915,6.608802080154419,0.0,24,bot2mid
135,-1,-0.00010500542850000114,3.084451659349068,6.910750389099121,0.0,24,bot2mid
136,-1,-0.00010491770466666828,3.081875210091047,7.190721035003662,0.0,24,bot2mid
137,-1,-0.00010754941966666792,3.078538558508348,7.470728158950806,0.0,24,bot2mid
138,-1,-0.00013698076574999996,3.0749847062614566,7.772636651992798,0.0,24,bot2mid
139,-1,-0.00010535632383333604,3.0723371050617168,8.052711725234985,0.0,24,bot2mid
140,-1,-9.417153508333234e-05,3.0695397103004645,8.33268427848816,0.0,24,bot2mid
141,-1,-8.763610950000139e-05,3.066057009995291,8.634392738342285,0.0,24,bot2mid
142,-1,-0.00012285722858333334,3.063641588815897,8.914637804031372,0.0,24,bot2mid
143,-1,-6.978430941666572e-05,3.0612823402220695,9.194667100906372,0.0,24,bot2mid
144,-1,-9.90840697500002e-05,3.0588968777549783,9.496565818786621,0.0,24,bot2mid
145,-1,-0.00011197947324999985,3.056530139483075,9.776594638824463,0.0,24,bot2mid
146,-1,-0.00010206668008333475,3.054002373132546,10.056604862213135,0.0,24,bot2mid
147,-1,-0.00010026834150000247,3.0513772409670334,10.358465909957886,0.0,24,bot2mid
148,-1,-0.0001054879095833336,3.0499916505230393,10.638546705245972,0.0,24,bot2mid
149,-1,-0.00010553177150000176,3.0473627735184894,10.918513536453247,0.0,24,bot2mid
150,-1,-9.789979800000487e-05,3.0458947966156638,11.220465898513794,0.0,24,bot2mid
151,-1,-0.0001070230766666673,3.0440935290384714,11.500446796417236,0.0,24,bot2mid
152,-1,-0.00010912844866666632,3.0428802011902176,11.780448198318481,0.0,24,bot2mid
153,-1,-0.00010540018574999727,3.0403823935519916,12.08250904083252,0.0,24,bot2mid
154,-1,-0.00010803190074999691,3.0383976288619463,12.362473726272583,0.0,24,bot2mid
155,-1,-0.00010632128600000443,3.0372180045650325,12.642431497573853,0.0,24,bot2mid
156,-1,-9.868931250000407e-05,3.0351995363236477,12.944525003433228,0.0,24,bot2mid
157,-1,-9.671552624999913e-05,3.0337802423283127,13.224319219589233,0.0,24,bot2mid
158,-1,-0.00010171578474999984,3.0321287683126337,13.504693984985352,0.0,24,bot2mid
159,-1,-0.00010421591399999847,3.030675770765959,13.806231260299683,0.0,24,bot2mid
160,-1,-0.00010228598966666863,3.0291965593460204,14.086333751678467,0.0,24,bot2mid
161,-1,-0.0001221115760000023,3.0279495279464252,14.366264581680298,0.0,24,bot2mid
162,-1,-7.539863475000338e-05,3.0263017987697842,14.668184518814087,0.0,24,bot2mid
163,-1,-8.719749033333363e-05,3.0260284255200234,14.948209524154663,0.0,24,bot2mid
164,-1,-6.921410450000387e-05,3.023298437861452,15.228255987167358,0.0,24,bot2mid
165,-1,-0.00011921668949999714,3.0231261752657117,15.530117750167847,0.0,24,bot2mid
166,-1,-8.662728541666484e-05,3.021983999359177,15.810149908065796,0.0,24,bot2mid
167,-1,-0.00010075082258333493,3.0212088176783483,16.09018349647522,0.0,24,bot2mid
168,-1,-0.00010540018575000074,3.019740840775522,16.392062664031982,0.0,24,bot2mid
169,-1,-9.969813658333021e-05,3.0185125335711165,16.67208218574524,0.0,24,bot2mid
170,-1,-0.00010276847074999762,3.017467723479565,16.95208501815796,0.0,24,bot2mid
171,-1,-0.00010105785600000167,3.0164753411345426,17.25399661064148,0.0,24,bot2mid
172,-1,-8.798700483332936e-05,3.0154118068478013,17.533952951431274,0.0,24,bot2mid
173,-1,-0.0001205764089166686,3.0140636647941856,17.81403136253357,0.0,24,bot2mid
174,-1,-0.000108558243750001,3.0132697589181676,18.115941047668457,0.0,24,bot2mid
175,-1,-6.171371675000106e-05,3.0123110801244852,18.395974159240723,0.0,24,bot2mid
176,-1,-0.00010004903191666512,3.0116033055463376,18.675979614257812,0.0,24,bot2mid
177,-1,-0.00010421591399999847,3.010213970263306,18.97800374031067,0.0,24,bot2mid
178,-1,-0.00010325095183333355,3.0091429462984887,19.257712602615356,0.0,24,bot2mid
179,-1,-9.82506933333363e-05,3.0088059107850853,19.53792905807495,0.0,24,bot2mid
180,-1,-0.0001054001857500042,3.0071282228961413,19.83995747566223,0.0,24,bot2mid
181,-1,-0.00010658445749999954,3.006817401256002,20.119855403900146,0.0,24,bot2mid
182,-1,-8.684659500000219e-05,3.006682587050641,20.399860382080078,0.0,24,bot2mid
183,-1,-0.00010461067124999807,3.0047614846242388,20.701732873916626,0.0,24,bot2mid
184,-1,-9.974199849999837e-05,3.0046603739702173,20.981854677200317,0.0,24,bot2mid
185,-1,-9.886476016666632e-05,3.0040874135974307,21.261846780776978,0.0,24,bot2mid
186,-1,-9.94788269999998e-05,3.0028441270368744,21.56371235847473,0.0,24,bot2mid
187,-1,-0.0001050054285000046,3.0017281650036036,21.843738317489624,0.0,24,bot2mid
188,-1,-0.00013198050724999577,3.0008518726687536,22.12384343147278,0.0,24,bot2mid
189,-1,-9.395222549999846e-05,2.9999680906558277,22.425649404525757,0.0,24,bot2mid
190,-1,-0.00010364570908333662,2.99967224837184,22.705679893493652,0.0,24,bot2mid
191,-1,-9.149595816666453e-05,2.999335212858436,22.985543251037598,0.0,24,bot2mid
192,-1,-0.00010382115675000234,2.9979308982192534,23.28769612312317,0.0,24,bot2mid
193,-1,-0.00010250529925000251,2.9971781855726514,23.56761145591736,0.0,24,bot2mid
194,-1,-0.0001197868944166694,2.9968748536105876,23.847628831863403,0.0,24,bot2mid
