T,FL,FM,FR,xL,xM,xR
186.98123788833618,"[3.7712012527884107, 4.194617387818223, 3.846607841858422, 3.9418154417273934, 4.125720720106774, 3.7625213576436614, 4.197329855050957, 3.841996647562774]","[0.01003616351580476, 0.0024326387166015567, 0.03598732424352005, -0.0008732416308780966, 0.04243379092110537, 0.009540281463682812, 0.0024326387166015567, 0.03565673620877209]","[4.110468411357738, 3.889993558961078, 3.9962703590684496, 4.043467819985699, 3.855998185013689, 4.10650778526678, 3.8837225676503944, 4.005511819947352]",326,0,399
187.3143060207367,"[3.9529365573816038, 4.103478488798353, 3.7638775912600284, 4.205196010025886, 3.8319605188016572, 3.9559202713376114, 4.09452734693033, 3.76876003227895]","[-0.001865005735121994, 0.044417319129593166, 0.009374987446308825, 0.0012755805949836718, 0.034995560139276155, -0.0015344177003740328, 0.046070259303333, 0.009044399411560863]","[4.037856933023509, 3.854347924142456, 4.104857524395547, 3.882072306779162, 4.011452759083789, 4.02828541997036, 3.857648445884921, 4.107827993963766]",326,0,399
187.64742922782898,"[4.206823490365527, 3.8211106498707204, 3.953750297551424, 4.099138541225978, 3.7679462921091296, 4.200313569006965, 3.8202969097009003, 3.9594464787401655]","[0.001936756664479608, 0.03383850201765827, -0.001865005735121994, 0.04557437725121105, 0.009044399411560863, 0.002267344699227569, 0.034499678087154206, -0.002195593769869969]","[3.8764614198169713, 4.0104626025610495, 4.030265733015839, 3.8609489676273863, 4.105517628744041, 3.870850532854781, 4.008812341689817, 4.030925837364332]",326,0,399
187.9809274673462,"[4.099681034672525, 3.7584526567945598, 4.202754789516425, 3.831146778631837, 3.9404592081110263, 4.106190956031087, 3.7606226305807473, 4.192989907478582]","[0.046070259303333, 0.008548517359438915, 0.0025979327339755304, 0.035491442191398104, -0.0020302997524959815, 0.04392143707747122, 0.008879105394186876, 0.001606168629731633]","[3.857978498059168, 4.102547159175821, 3.880091993733683, 4.0041916112503655, 4.033896306932551, 3.8470867763090335, 4.105847680918287, 3.891313767658064]",326,0,399
188.31414103507996,"[3.845522854965328, 3.909265834934583, 4.139283056270444, 3.750857748542904, 4.159355313792678, 3.876173734695225, 3.872376280569397, 4.171290169616708]","[0.03730967638251191, -0.0008732416308780966, 0.03780555843463386, 0.0097055754810568, 0.0025979327339755304, 0.03962379262574767, 0.0012755805949836718, 0.02871438747906481]","[3.984388480795576, 4.086044550463497, 3.8942842372262825, 4.143803680956634, 3.9494029503254473, 3.996930463416943, 4.100236793956096, 3.8843826719988876]",326,0,400
188.64748620986938,"[3.7451615673541623, 4.17780009097527, 3.9738225550736574, 3.884582383116701, 4.241000577497978, 3.796969691499386, 4.120567032364578, 4.016679537350858]","[0.011854397706918568, 0.0021020506818535817, 0.04342555502534927, 0.0040855788903413764, 0.017804982332381952, 0.016647924210764067, 0.001936756664479608, 0.047227317424950885]","[4.125980863547323, 3.928609663347918, 3.919698254643263, 4.064921211311721, 3.8239831241117788, 4.074822776539116, 3.9599646199013354, 3.903195645930938]",327,0,399
188.98091006278992,"[3.8360292196507584, 4.213875905170636, 3.784221095505535, 4.02318945870942, 4.049771637590215, 3.768217538832403, 4.218487099466284, 3.8289768048456496]","[0.007226165220447056, 0.007556753255195017, 0.02441674302734126, -0.0016997117177480203, 0.04954143366818664, 0.009540281463682812, 0.0009449925602357107, 0.03350791398291031]","[4.07449272436487, 3.8909837154838174, 4.095946115690892, 4.040167298243234, 3.9114469502871003, 4.13192180268376, 3.906496167673403, 4.040167298243234]",326,0,400
189.31400990486145,"[3.9374754941550183, 4.174273883572716, 3.7961559513295655, 4.2130621650008155, 3.928253105563722, 3.9013996799596535, 4.227980734780854, 3.794528470989925]","[-0.0023608877872439427, 0.0412767327994875, 0.009540281463682812, 0.0017714626471056205, 0.039293204590999706, 0.001936756664479608, 0.024582037044715246, 0.014994984037024248]","[4.066571472182954, 3.8187022893238347, 4.091325385251441, 3.900555228536966, 3.9395013850980525, 4.048748654773643, 3.818372237149588, 4.0804336635013065]",327,0,399
189.64745020866394,"[4.130060667679148, 3.9662276468220012, 3.8002246521786667, 4.217673359296463, 3.7766261872538793, 3.995522292935531, 4.07309885579173, 3.7587239035178333]","[0.002267344699227569, 0.04623555332070699, 0.007226165220447056, 0.006399695133577132, 0.027061447305324976, -0.003022063856739879, 0.04937613965081265, 0.009870869498430773]","[3.9474226372799683, 3.943792063363257, 4.122680341804858, 3.8896635067868313, 4.076473037410349, 4.04049735041748, 3.9018754372339517, 4.134562220077732]",326,0,400
189.9807572364807,"[4.196244868157863, 3.8788862019279593, 3.9336780400291906, 4.205467256749159, 3.777168680700426, 4.147962951415194, 3.9827736969416803, 3.8425391410093206]","[0.001606168629731633, 0.035822030226146065, -0.0008732416308780966, 0.031524385774422514, 0.01218498574166653, 0.0024326387166015567, 0.04524378921646309, 0.00656498915095112]","[3.9097966894158676, 3.960954776424075, 4.0352165156295365, 3.8157318197556163, 4.080763715675553, 3.9335604459616156, 3.9061661154991563, 4.069211889576926]",327,0,399
