"FL","FM","FR","T","x","side"
"[1.095514626106227, 1.0944296392131334, 1.0933446523200399, 1.0938871457665864, 1.0952433793829535, 1.0965996129993205, 1.096870859722594, 1.09497213265968]","[-1.869010031389356, -1.8511845687557882, -1.8505243664360265, -1.8624080081917382, -1.8754470040070332, -1.8789130661857825, -1.853330226295014, -1.8325338532225184]","[-5.321855697659271, -5.315264375887868, -5.2638520660709265, -5.233861552011044, -5.225622399796791, -5.255612913856673, -5.292524315776529, -5.281648634853714, -5.232543287656764]","9.262378931045532","0","R"
"[1.0938871457665864, 1.0930734055967664, 1.0938871457665864, 1.095514626106227, 1.0963283662760475, 1.0965996129993205, 1.094700885936407, 1.09415839248986, 1.0930734055967664]","[-1.820485160886866, -1.8214754643665088, -1.8368251683009698, -1.8752819534270928, -1.8772625603863782, -1.8695051831291774, -1.8523399228153714, -1.8444174949782302]","[-5.195631885736908, -5.164982239499885, -5.183108374371242, -5.252646819059542, -5.281978200942285, -5.296479108839371, -5.266818160868058, -5.230565891125343]","9.562856435775757","0","R"
"[1.094700885936407, 1.0963283662760475, 1.096870859722594, 1.0965996129993205, 1.09497213265968, 1.0933446523200399, 1.09415839248986, 1.0957858728295005]","[-1.8511845687557882, -1.864553665730964, -1.8818839766247106, -1.8741265993675098, -1.8600973000725722, -1.847718506577039, -1.8412815339593618, -1.8554758838342398, -1.8676896267498324]","[-5.213428454519695, -5.221338040645379, -5.278682540056583, -5.292853881865099, -5.290876485333678, -5.24770332773099, -5.215405851051116, -5.218701511936818]","9.863095045089722","0","R"
"[1.096057119552774, 1.096870859722594, 1.096057119552774, 1.094700885936407, 1.0928021588734929, 1.0938871457665864, 1.0952433793829535, 1.0965996129993205]","[-1.8666993232701898, -1.8513496193357286, -1.8638934634112023, -1.8312134485829947, -1.8251065771251984, -1.846233051357575, -1.8686799302294752, -1.883534482424115]","[-5.239464175516736, -5.244407666845289, -5.2539650834138225, -5.29516084448509, -5.226611098062501, -5.1702552969170075, -5.183108374371242, -5.227270230239641, -5.286921692270837]","10.188214540481567","0","R"
"[1.0971421064458675, 1.0957858728295005, 1.0944296392131334, 1.093615899043313, 1.09415839248986, 1.095514626106227, 1.0965996129993205, 1.0965996129993205, 1.0952433793829535]","[-1.875777105166914, -1.8553108332542994, -1.842932039758766, -1.8457378996177536, -1.8566312378938228, -1.8723110429881649, -1.8762722569067354, -1.8556409344141802]","[-5.3060365254079045, -5.267806859133769, -5.227599796328211, -5.20156407533117, -5.199916244888319, -5.239464175516736, -5.27307991655089, -5.269454689576619]","10.488674879074097","0","R"
"[1.09415839248986, 1.093615899043313, 1.0944296392131334, 1.0957858728295005, 1.096870859722594, 1.0963283662760475, 1.09497213265968, 1.0938871457665864]","[-1.855145782674359, -1.8455728490378132, -1.8449126467180514, -1.8610876035522148, -1.8762722569067354, -1.8721459924082244, -1.845902950197694, -1.842106786859064, -1.8313784991629352]","[-5.272091218285181, -5.233531985922474, -5.189370130054075, -5.205518868394012, -5.258579008653805, -5.280989502676574, -5.24770332773099, -5.232543287656764]","10.788963794708252","0","R"
"[1.093615899043313, 1.0952433793829535, 1.0963283662760475, 1.096870859722594, 1.0963283662760475, 1.09497213265968, 1.0938871457665864, 1.09415839248986]","[-1.8439223432384089, -1.8627381093516193, -1.8698352842890582, -1.8584467942731677, -1.9795939199494523, -1.8496991135363243, -1.8326989038024588, -1.8467282030973964]","[-5.190029262231215, -5.180471845662682, -5.2117806240768445, -5.243748534668148, -5.254953781679533, -5.465216946187282, -5.275386879170882, -5.191017960496926, -5.183108374371242]","11.113997459411621","0","R"
"[1.095514626106227, 1.0963283662760475, 1.0963283662760475, 1.096057119552774, 1.0944296392131334, 1.0944296392131334, 2.200573776722149, 1.6591653170683984, 3.126338843254339]","[-1.8683498290695943, -1.9477391580209469, -1.9606131032563014, -1.8549807320944185, -2.0088078725989105, -3.5766233314531717, -2.801215706892974, -4.331399633520815]","[-5.231225023302483, -5.378870630981906, -5.432260337330268, -5.282966899207995, -5.4896048367414725, -7.974862710648895, -7.074488156675273, -9.387053400171943]","11.414445161819458","0","R"
"[2.4577156703853533, 3.7019243900405407, 2.952469693636075, 2.1276084081615982, 1.3000346554543873, 1.0971421064458675, 1.097413353169141, 1.096870859722594]","[-3.366018791449167, -4.728676379437459, -3.7391981526945073, -3.0317913670697716, -2.4148322992523985, -1.9665549241341573, -1.9741472508114177, -1.8863403422831024, -1.864883766890845]","[-8.226651202316482, -10.243266098277166, -8.92994523532516, -7.652876642115869, -6.45292651363199, -5.572655491061147, -5.462580417478721, -5.334379209024937]","11.715063095092773","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","44.743252754211426","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.079304010227027]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","45.0433452129364","0","R"
"[6.670448529544872, 6.60046687494033, 5.385281554675398, 4.245231576757205, 3.26277594506087, 2.44876452851733, 1.7836675630508991, 1.2479552845858901]","[-5.565152718575621, -5.224983473318369, -4.387186729540684, -3.71411046454356, -3.131151816193918, -2.6480487687082435, -2.238558279876006, -1.9662248229742765]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.289075784588414, -8.949060068462227, -7.861491976180767, -6.934093002944394, -6.154669203476014, -5.623738234789519]","45.36858510971069","0","R"
"[1.097955846615688, 1.0909034318105788, 1.0922596654269459, 1.0930734055967664, 1.09497213265968, 1.094700885936407, 1.0925309121502194, 1.0914459252571258, 1.0911746785338523]","[-1.8676896267498324, -1.9607781538362419, -1.8858451905432811, -1.9863609937270106, -1.9757977566108222, -1.891787011421137, -1.8685148796495348, -1.853330226295014]","[-5.3742567057419235, -5.449397773935916, -5.325810490722113, -5.4797178540843685, -5.509049235967111, -5.393701104967562, -5.345584456036321, -5.286921692270837]","45.66899228096008","0","R"
"[1.0925309121502194, 3.288273137048572, 5.089351379584095, 7.293773499627196, 8.79051291864994, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-1.8586118448531082, -4.487207380984592, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-5.2486920259967, -9.458898807480233, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","45.969456911087036","0","R"
"[8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434, 8.87622688320434]","[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","46.29460787773132","0","R"
