"F","T","x","side"
"[0.12557891131051946, -0.8551390396197007, 0.22189680932694245, 0.5305626609236853, -0.5474210532148049, -0.18392089025570613, 0.8964695853986697, -0.14241591857268077]","3.381636619567871","0","L"
"[0.5812014246233659, 0.3980426274114208, -0.3341474087674783, 0.341306994470294, 0.6189198799305515, -0.07943196611000758, 0.004936716320450785, 0.7757958004125314, 0.2636903741271155]","3.3860530853271484","0","M"
"[0.21753738986932802, 0.19018045327299404, -0.3783372530479596, 0.016309114905531885, 0.31060151829057503, -0.1460483932633565, -0.1921018549938367, 0.3777302599386232]","3.3861231803894043","0","R"
"[-0.5865886064012216, 0.4909488058523195, 0.2607525044926362, -0.8154029251773522, 0.08441714643173981, 0.6681055038110273, -0.411977127357261, -0.3190489487488435]","3.7072370052337646","0","L"
"[-0.18038317577435237, 0.5678704462819653, 0.5071860638321297, -0.3747047783572839, 0.1357508900449531, 0.5745359354526656, 0.009801575715179922, -0.027250677510039623]","3.7072763442993164","0","M"
"[0.1269056911454456, -0.2683206500251458, 0.21374659034096766, 0.27174582312488127, -0.39220383034540873, -0.1484805719692872, 0.23532255765655208, -0.09898415596677523, -0.20198850349976283]","3.7072949409484863","0","R"
