"F","T","x","side"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","2.458739757537842","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","2.4588088989257812","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","2.4588799476623535","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","2.783642292022705","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","2.783705949783325","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","2.7837424278259277","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","3.084059476852417","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","3.0841236114501953","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","3.084169864654541","0","R"
"[-8.912270242787748, -8.912270242787748, -8.40374744781405, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","24.67811107635498","0","L"
"[-5.54633695246241, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.476190455987722, -5.565152718575621]","24.67817521095276","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","24.678218126296997","0","R"
"[-8.912270242787748, -8.415428259878082, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","25.003074169158936","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","25.00313687324524","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","25.003175258636475","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","34.561511278152466","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","34.56157922744751","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","34.56161856651306","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","34.861915826797485","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","34.861977100372314","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","34.862016439437866","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, 7.80127611887177]","50.300132513046265","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","50.30019426345825","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","50.300233364105225","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","50.600502490997314","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","50.60056257247925","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","50.60060262680054","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","50.92543649673462","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","50.9254949092865","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","50.92553234100342","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","51.22570991516113","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","51.22577142715454","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","51.225810050964355","0","R"
"[-8.912270242787748, 8.478579186885504, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","51.526344776153564","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","51.526402950286865","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","51.52644491195679","0","R"
"[-8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748, -8.912270242787748]","51.85104274749756","0","L"
