"F","T","x","side"
"[4.701591855433214, -10.996983742837076, -10.996983742837076, -10.996983742837076, 0.6921180426867711, 10.616126817930434, 10.616126817930434, -5.915733789262663, -10.996983742837076]","4.639927387237549","0","R"
"[0.45238864522494315, -3.9473818219895174, -0.03314298943448252, 0.05880964975520758, 5.519819929419016, 3.822900428620487, 0.9183905158086824, -0.4051076518735834, -2.517704754710364]","4.940680503845215","0","L"
"[-5.317741899244898, 4.474627572787079, 5.258947685226627, 5.258947685226627, -5.4857633896242675, -5.565152718575621, -5.565152718575621, -3.2833284508990057]","4.940744400024414","0","M"
"[-10.996983742837076, -10.996983742837076, 6.819866709747229, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.94078254699707","0","R"
"[-0.18969174566944721, 0.8033819051407514, 8.112667357189657, 1.0019345065768963, 1.6274294504454079, 0.05474094890610626, -0.19050668604600762, 0.5286089744647747]","5.240771770477295","0","L"
"[4.824389713550426, 5.258947685226627, -0.6489561444696067, -5.547327255942053, -5.565152718575621, -5.565152718575621, 2.6871380689048294, 5.258947685226627, 5.258947685226627]","5.240806818008423","0","M"
"[-10.996983742837076, 9.6866998952523, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -5.12971866802288]","5.240825891494751","0","R"
"[0.841085199675757, 8.87622688320434, 0.1976879720711997, -0.18181398869602988, -1.5405912432144273, 0.9639599653186174, 0.7198379143725373, 1.246599050969523]","5.56074070930481","0","L"
"[-4.771094378482153, -5.559375948277705, -5.565152718575621, -5.565152718575621, 2.7754050741825362, 5.258947685226627, 5.258947685226627, -5.507054914436585]","5.5607805252075195","0","M"
"[10.377829148124464, 10.616126817930434, 6.797423161898467, -10.996983742837076, -10.996983742837076, -10.996983742837076, 0.4845152250857247, 10.616126817930434, 10.616126817930434]","5.560797929763794","0","R"
"[7.446485404830133, 1.320920653146441, 0.3688446544567291, -3.1039185322494887, -0.038839170623224395, 0.3851194578531344, 4.215394437197129, 4.637454338610573, 0.37074338151964303]","5.8656065464019775","0","L"
"[-5.565152718575621, -5.565152718575621, -5.34827625653388, 3.0802072422201605, 5.258947685226627, 5.258947685226627, -5.522734719530927, -5.565152718575621]","5.865652084350586","0","M"
"[-0.7046347967916161, -10.996983742837076, -10.996983742837076, -10.996983742837076, 7.371713945087372, 10.616126817930434, 10.616126817930434, -10.450563167987783]","5.865671396255493","0","R"
"[0.5644135419368664, -3.2682648415225057, 0.9094393739406593, 0.5630573083204994, 6.904534451729836, 2.255908108269927, 0.8977757648399022, 0.4776145904893714]","6.165663003921509","0","L"
"[-5.565152718575621, -2.722981732001204, 4.212471261231942, 5.258947685226627, 0.8583250606790842, -5.546997154782172, -5.565152718575621, -5.565152718575621, -4.554382967020352]","6.165698289871216","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, 9.49163906027262, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076]","6.165717840194702","0","R"
"[-1.0660242972640794, 0.6826771132840785, 0.08322185484981556, 8.87622688320434, 1.4280631088394427, -0.5181127174232942, -0.882934359330173, 0.07562694659815974]","6.491576910018921","0","L"
"[5.255807098896521, 5.258947685226627, -0.3013596231150352, -5.561851706976812, -5.565152718575621, -5.565152718575621, 2.012242595966858, 5.258947685226627]","6.491611003875732","0","M"
"[-10.996983742837076, -10.982482834939988, 9.438500660218935, 10.616126817930434, 8.757272972574166, -10.996983742837076, -10.996983742837076, -10.996983742837076, -1.3423451781748363]","6.491628646850586","0","R"
"[0.7784272065995965, 0.7255340955612792, 8.632104832258262, 0.8508500817136003, 0.08132312778690162, -2.58181339766645, 0.9645024587651642, 0.41007415639428924, 2.9413485779818647]","6.78737473487854","0","L"
"[5.258947685226627, -5.507715116756347, -5.565152718575621, -5.565152718575621, -3.2783769335007924, 3.900892038481985, 5.258947685226627, 5.258947685226627]","6.787440061569214","0","M"
"[10.616126817930434, 10.616126817930434, 1.4697209652115173, -10.996983742837076, -10.996983742837076, -10.996983742837076, 5.2788531081903365, 10.616126817930434]","6.787480354309082","0","R"
