"F","T","x","side"
"[-4.545004764800488, -7.120759648315771, -6.138213200976098, -8.592541968383879, -3.4942749726219273, 4.11801686354197, 4.501559730250589, -6.057805750488804]","3.703167676925659","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","3.7032649517059326","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","3.7033028602600098","0","R"
"[-6.254749674824238, -6.599197807317106, -8.912270242787748, -1.8391310678277257, 3.8671136445140544, 1.0070881943190915, -5.785072371133252, -6.58181241261715, -7.012100931441049]","4.0047478675842285","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","4.004782676696777","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.0047993659973145","0","R"
"[-8.863645466986311, -0.10556586454848624, 5.5043588661924305, -1.5587915782909434, -5.892644500839227, -5.967075721898411, -7.811829087639002, -5.9795714743390045]","4.303564786911011","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","4.303600072860718","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.303620100021362","0","R"
"[0.4312314008096162, 6.208515359810234, -3.623578845702846, -5.628060525249278, -5.7128143244115615, -8.05766943456806, -5.029622642061748, 2.8710956766540483]","4.628612756729126","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","4.628663539886475","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.628692388534546","0","R"
"[3.3208227438413824, -6.249860032564875, -5.851625835219019, -5.63566663543051, -8.912270242787748, -1.8030020444668806, 4.3439653840287304, 1.0192942968663954, -6.561982196787514]","4.929304361343384","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","4.929371356964111","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.9294068813323975","0","R"
"[-6.374545910178618, -6.094749714226209, -8.752541928981907, -2.6078914897163834, 5.398030150669249, -1.2635115151838865, -5.566125056630687, -7.152813969793814]","5.229260683059692","0","L"
"[-5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621, -5.565152718575621]","5.229294776916504","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076]","5.229313135147095","0","R"
