"F","T","x","side"
"[-1.0584944488246606, -1.0584944488246606, -0.5580657833953069, 0.029829633223350527, 0.6241006392859774, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0085824814499276]","30.85722780227661","0","L"
"[-1.0584944488246606, -1.0584944488246606, -0.4852583558995889, 0.1481657585003333, 0.5966489327014344, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462]","30.85729956626892","0","M"
"[-1.0584944488246606, -1.0584944488246606, -0.8959175163645909, -0.2590973229844735, 0.21952755962171722, 0.7736792706758635, 1.0115835310765462, 1.0115835310765462]","30.857340812683105","0","R"
"[0.42056629460909534, -0.1718231701989339, -0.763253223313825, -1.0584944488246606, -1.0584944488246606, -1.0584944488246606, -0.8549179324646161, -0.26424596102430087]","31.156904935836792","0","L"
"[1.0115835310765462, 0.7108151784972208, 0.25133868566387463, -0.3916984425623582, -1.0405215957899259, -1.0584944488246606, -1.0584944488246606, -0.748723324551122, -0.16162065432860118]","31.156938314437866","0","M"
"[1.0115835310765462, 0.6637460843534129, 0.20395369155937004, -0.4142513723809884, -1.0480708257992433, -1.0584944488246606, -1.0584944488246606, -1.05846286208822]","31.15695834159851","0","R"
