"F","T","x","side"
"[-0.6407914461333917, -0.23806055651499491, 0.1675936060831802, 0.572008735767092, 0.8556237204805868, 0.45133495078095365, 0.04417149143898058, -0.35840602235390406]","4.309234380722046","0","L"
"[-0.4402788432080911, -0.40439631061150294, -0.08019004778458338, 0.2911104907155888, 0.6738864730917768, 0.9117591434963899, 0.7306221060329037, 0.4335497829937296, 0.062051429214413645]","4.310924053192139","0","M"
"[-0.5335544759173558, -0.598117765202062, -0.365260344161527, -0.03233614207698565, 0.3359051051423805, 0.5973123226188974, 0.5264243714385586, 0.28596132135623265]","4.310978412628174","0","R"
"[-0.7636006774146722, -0.6411073134977983, -0.23831325040652018, 0.16724611612641382, 0.5711558058732109, 0.8562239304059105, 0.45228265066304374, 0.044740111368234636]","4.6347033977508545","0","L"
"[-0.3852231615920232, -0.40951336191488963, -0.1106712484498189, 0.23083677821465898, 0.6728755932175474, 1.0054866618351, 0.805964246659066, 0.4369930925653236]","4.6347386837005615","0","M"
"[-0.047939989878670985, -0.47461362571908694, -0.5931270608444379, -0.3898664118488, -0.08508599193288546, 0.31736177744948435, 0.6818471521013336, 0.6047675616913395, 0.3088640685067432]","4.634757041931152","0","R"
