T,FL,FM,FR,xL,xM,xR
257.6373279094696,"[0.8729300146118949, 0.8750999883980822, 0.8506877833034743, 0.8384816807561702, 0.8590964317249503, 0.8767274687377228, 0.8626226391275048, 0.8360404602467094]","[0.06722789352720278, 0.05598790034577196, 0.058302016589007716, 0.06888083370094263, 0.06954200977043855, 0.06012025078012152, 0.05731025248476383, 0.06160789693648737]","[0.7399756079525132, 0.7657196775437399, 0.7812321297333252, 0.7792518166878463, 0.761759051452782, 0.756478216664838, 0.7693502514604514, 0.7785917123393533]",18,0,17
257.976998090744,"[0.8392954209259905, 0.9068358550210727, 0.9095483222538069, 0.8837798835428318, 0.8620801456809579, 0.8759137285679025, 0.9011396738323307, 0.8981559598763231]","[0.07218671404842227, 0.06557495335346296, 0.054500254189406114, 0.05598790034577196, 0.06458318924921906, 0.07020318583993447, 0.06524436531871501, 0.05383907811991019]","[0.7663797818922329, 0.7726507732029163, 0.7746310862483954, 0.7898134862637342, 0.7941041645289386, 0.7779316079908603, 0.7667098340664794, 0.7723207210286699]",19,0,18
258.30353689193726,"[0.8707600408257075, 0.8566552112154895, 0.8699463006558872, 0.896799726259956, 0.8957147393668623, 0.8683188203162466, 0.8523152636431147, 0.8664200932533327]","[0.055822606328397986, 0.06673201147508083, 0.07136024396155237, 0.06623612942295888, 0.05334319606778824, 0.05697966445001586, 0.06623612942295888, 0.07152553797892634]","[0.7875031210440087, 0.7878331732182552, 0.7729808253771628, 0.763739364498261, 0.7690201992862049, 0.7851927558242833, 0.7861829123470228, 0.7743010340741489]",19,0,18
258.63681721687317,"[0.8913747917944875, 0.9374867347509693, 0.9130745296563614, 0.8873060909453863, 0.8905610516246673, 0.914159516549455, 0.9269081125433059, 0.9125320362098145]","[0.06722789352720278, 0.053177902050414255, 0.05383907811991019, 0.05978966274537356, 0.07169083199630032, 0.0680543636140727, 0.05697966445001586, 0.053508490085162216]","[0.7634093123240144, 0.7845326514757902, 0.7987248949683896, 0.804995886279073, 0.7974046862714036, 0.7782616601651068, 0.7769414514681208, 0.7898134862637342]",20,0,19
258.969970703125,"[0.8840511302661052, 0.8333279930139752, 0.8604526653413175, 0.8824236499264646, 0.8775412089075431, 0.8479753160707401, 0.8327854995674284, 0.851230276750021]","[0.058302016589007716, 0.07086436190943042, 0.07036847985730847, 0.061938484971235344, 0.052682019998292307, 0.055657312311024, 0.06855024566619465, 0.07284789011791822]","[0.802355468885101, 0.8251290689081093, 0.806316094976059, 0.8010352601881151, 0.810276721067017, 0.8244689645596164, 0.8224886515141374, 0.8073062514987985]",19,0,20
259.3033106327057,"[0.8788974425239101, 0.9467091233422656, 0.9429116692164378, 0.9138882698261815, 0.9109045558701739, 0.9328755404553212, 0.9524053045310076, 0.9442679028328049]","[0.06821965763144668, 0.052351431963544345, 0.0518555499114224, 0.05780613453688578, 0.0710296559268044, 0.0700378918225605, 0.06127730890173942, 0.051524961876674436]","[0.7960844775744176, 0.7894834340894877, 0.8053259384533196, 0.8139072949837285, 0.8073062514987985, 0.7888233297409947, 0.7822222862560647, 0.7921238514834597]",21,0,20
259.63685035705566,"[0.9147020099960018, 0.8501452898569274, 0.8604526653413175, 0.8919172852410344, 0.9087345820839866, 0.8894760647315736, 0.8588251850016769, 0.8555702243223958]","[0.0546655482067801, 0.06408730719709711, 0.07334377217004016, 0.0700378918225605, 0.056318488380519935, 0.052682019998292307, 0.05780613453688578, 0.07169083199630032]","[0.806976199324552, 0.8416316776204341, 0.8251290689081093, 0.8106067732412635, 0.8106067732412635, 0.8234788080368769, 0.8363508428324902, 0.8297497993475603]",20,0,21
259.9699318408966,"[0.8786261958006367, 0.9448103962793517, 0.9439966561095314, 0.9179569706752829, 0.8924597786875812, 0.893544765580675, 0.9203981911847438, 0.9388429683673364]","[0.07202142003104829, 0.06458318924921906, 0.05135966785930045, 0.05218613794617036, 0.06061613283224347, 0.07169083199630032, 0.06987259780518652, 0.06061613283224347]","[0.8132471906352354, 0.8007052080138686, 0.8059860428018125, 0.8218285471656444, 0.8297497993475603, 0.8172078167261934, 0.8013653123623615, 0.7967445819229106]",21,0,21
260.3033607006073,"[0.931519306838954, 0.9000546869392371, 0.8824236499264646, 0.894900999197042, 0.9228394116942045, 0.9345030207949617, 0.9182282173985563, 0.8870348442221128]","[0.05069849178980451, 0.05416966615465815, 0.06557495335346296, 0.07268259610054421, 0.06755848156195075, 0.05499613624152806, 0.051524961876674436, 0.05615319436314595]","[0.8053259384533196, 0.8475726167568711, 0.8462524080598851, 0.8307399558702998, 0.818197973248933, 0.8168777645519469, 0.8304099036960533, 0.8429518863174201]",21,0,22
260.63669419288635,"[0.8783549490773633, 0.8997834402159637, 0.9277218527131261, 0.931519306838954, 0.9076495951908928, 0.8816099097566443, 0.8802536761402773, 0.9043946345116118]","[0.06888083370094263, 0.07334377217004016, 0.06722789352720278, 0.052682019998292307, 0.0518555499114224, 0.058797898641129664, 0.07284789011791822, 0.07185612601367432]","[0.8399814167492017, 0.8251290689081093, 0.8119269819382494, 0.8132471906352354, 0.8320601645672858, 0.8426218341431737, 0.8337104254385183, 0.8165477123777004]",21,0,22
260.9699182510376,"[0.9279930994363995, 0.9646114070783116, 0.9309768133924072, 0.9109045558701739, 0.9163294903356424, 0.9404704487069769, 0.9581014857197494, 0.9521340578077341]","[0.06243436702335729, 0.04954143366818664, 0.05169025589404841, 0.06160789693648737, 0.07301318413529219, 0.07020318583993447, 0.0594590747106256, 0.05003731572030859]","[0.8076363036730451, 0.8380011037037227, 0.8538436080675545, 0.8604446515524845, 0.8479026689311177, 0.8297497993475603, 0.8221585993398909, 0.8340404776127648]",22,0,23
261.3030025959015,"[0.9193132042916501, 0.8973422197065029, 0.9114470493167208, 0.9415554356000706, 0.9515915643611873, 0.933418033901868, 0.9030384008952447, 0.8959859860901357]","[0.052847314015666294, 0.06474848326659306, 0.07284789011791822, 0.06722789352720278, 0.05483084222415409, 0.05036790375505655, 0.055822606328397986, 0.0690461277183166]","[0.8488928254538571, 0.8792576254845348, 0.8620949124237169, 0.8482327211053641, 0.8455923037113922, 0.859454495029745, 0.8743068428708374, 0.8677057993859074]",22,0,24
261.6363775730133,"[0.9163294903356424, 0.9439966561095314, 0.9496928372982734, 0.9214831780778374, 0.8946297524737686, 0.8992409467694168, 0.930163073222587, 0.9472516167888125]","[0.07202142003104829, 0.06524436531871501, 0.05135966785930045, 0.052020843928796384, 0.06061613283224347, 0.07284789011791822, 0.07053377387468245, 0.05912848667587764]","[0.850213034150843, 0.8399814167492017, 0.8455923037113922, 0.8637451732949495, 0.8700161646056329, 0.8578042341585125, 0.8422917819689272, 0.8383311558779692]",22,0,24
261.96976375579834,"[0.9361305011346022, 0.900597180385784, 0.8875773376686596, 0.9033096476185182, 0.9317905535622275, 0.9399279552604302, 0.9206694379080171, 0.8938160123039484]","[0.05020260973768256, 0.053508490085162216, 0.06590554138821093, 0.07334377217004016, 0.06722789352720278, 0.052847314015666294, 0.05069849178980451, 0.05731025248476383]","[0.8472425645826246, 0.8924597124543947, 0.8914695559316552, 0.8752969993935769, 0.8591244428554985, 0.8607747037267309, 0.8772773124390558, 0.8891591907119297]",22,0,25
