T,FL,FM,FR,xL,xM,xR
262.3030400276184,"[0.8889335712850267, 0.952676551254281, 0.9757325227325218, 0.9727488087765142, 0.9423691757698909, 0.917414477228736, 0.9250093854803919, 0.9564740053801088]","[0.0700378918225605, 0.0700378918225605, 0.06293024907547924, 0.05020260973768256, 0.05119437384192646, 0.060285544797495524, 0.07218671404842227, 0.07036847985730847]","[0.8799177298330277, 0.8591244428554985, 0.8498829819765966, 0.8591244428554985, 0.8743068428708374, 0.8812379385300138, 0.8690260080828934, 0.8521933471963221]",23,0,25
262.63639283180237,"[0.9722063153299674, 0.9575589922732026, 0.9252806322036653, 0.9138882698261815, 0.9326042937320477, 0.9605427062292102, 0.9686801079274128, 0.9458953831724454]","[0.056649076415267896, 0.0498720217029346, 0.05433496017203214, 0.06772377557932473, 0.07251730208317024, 0.06673201147508083, 0.052351431963544345, 0.05135966785930045]","[0.8485627732796106, 0.8624249645979635, 0.8779374167875488, 0.8752969993935769, 0.858794390681252, 0.8452622515371456, 0.8492228776281036, 0.8663855906889214]",23,0,25
262.96950459480286,"[0.914159516549455, 0.9071071017443461, 0.9353167609647819, 0.9586439791662962, 0.9570164988266557, 0.9225681649709311, 0.9030384008952447, 0.9171432305054626]","[0.05731025248476383, 0.07020318583993447, 0.07119494994417837, 0.06094672086699145, 0.0498720217029346, 0.05251672598091833, 0.06425260121447111, 0.07284789011791822]","[0.8766172080905629, 0.9007110168105571, 0.8835483037497393, 0.8736467385223443, 0.8858586689694647, 0.9023612776817895, 0.9020312255075431, 0.8878389820149437]",23,0,26
263.3029568195343,"[0.9486078504051796, 0.9608139529524837, 0.9418266823233441, 0.9087345820839866, 0.9022246607254244, 0.9274506059898527, 0.954032784870648, 0.9551177717637418]","[0.06821965763144668, 0.05483084222415409, 0.05003731572030859, 0.055657312311024, 0.06987259780518652, 0.07185612601367432, 0.06491377728396704, 0.05119437384192646]","[0.8719964776511119, 0.8743068428708374, 0.8875089298406972, 0.9023612776817895, 0.8951001298483666, 0.8779374167875488, 0.8686959559086469, 0.8752969993935769]",23,0,26
263.63632011413574,"[0.926365619096759, 0.9014109205556041, 0.9087345820839866, 0.9372154880276959, 0.9562027586568355, 0.9461666298957189, 0.9128032829330879, 0.8976134664297762]","[0.05218613794617036, 0.06012025078012152, 0.07317847815266616, 0.07036847985730847, 0.05896319265850365, 0.05036790375505655, 0.05416966615465815, 0.06689730549245483]","[0.8917996081059016, 0.8990607559393246, 0.8868488254922042, 0.8696861124313864, 0.8657254863404285, 0.8776073646133024, 0.8954301820226132, 0.8931198168028877]",23,0,26
263.9695780277252,"[0.9163294903356424, 0.9825136908143575, 0.9884811187263727, 0.9627126800153976, 0.9309768133924072, 0.9285355928829464, 0.9583727324430229, 0.9795299768583499]","[0.07301318413529219, 0.06507907130134101, 0.05135966785930045, 0.049706727685560614, 0.05615319436314595, 0.07086436190943042, 0.07053377387468245, 0.06111201488436542]","[0.8772773124390558, 0.8901493472346692, 0.8914695559316552, 0.906651955946994, 0.9182037820456214, 0.909292373340966, 0.8917996081059016, 0.8828881994012463]",24,0,27
264.30284905433655,"[0.9738337956696079, 0.9046658812348852, 0.8875773376686596, 0.9035808943417916, 0.9347742675182351, 0.9480653569586328, 0.9271793592665792, 0.8946297524737686]","[0.049210845633438666, 0.05383907811991019, 0.06458318924921906, 0.07367436020478811, 0.06788906959669873, 0.0546655482067801, 0.05135966785930045, 0.05648378239789391]","[0.8921296602801482, 0.9162234690001424, 0.9168835733486355, 0.9010410689848036, 0.8868488254922042, 0.8865187733179577, 0.9017011733332966, 0.9155633646516494]",23,0,27
264.63615012168884,"[0.8913747917944875, 0.9502353307448201, 0.976546262902342, 0.9762750161790688, 0.9494215905749999, 0.9195844510149235, 0.9258231256502122, 0.9586439791662962]","[0.07036847985730847, 0.07119494994417837, 0.06425260121447111, 0.05003731572030859, 0.051524961876674436, 0.060285544797495524, 0.07268259610054421, 0.06954200977043855]","[0.9102825298637055, 0.8878389820149437, 0.8785975211360418, 0.8851985646209717, 0.9036814863787755, 0.909292373340966, 0.8970804428938456, 0.8805778341815208]",24,0,27
264.96936774253845,"[0.9781737432419826, 0.95972896605939, 0.924466892033845, 0.9136170231029082, 0.9361305011346022, 0.9640689136317646, 0.9686801079274128, 0.9410129421535238]","[0.05764084051951179, 0.048384375546568756, 0.05301260803304027, 0.06689730549245483, 0.07202142003104829, 0.06524436531871501, 0.05020260973768256, 0.05135966785930045]","[0.8749669472193303, 0.9215043037880863, 0.9363566516291787, 0.9350364429321928, 0.9155633646516494, 0.90137112115905, 0.906651955946994, 0.9244747733563048]",24,0,28
265.30270981788635,"[0.9136170231029082, 0.9176857239520095, 0.9505065774680935, 0.9708500817136003, 0.9575589922732026, 0.9236531518640247, 0.9092770755305334, 0.9304343199458603]","[0.05863260462375569, 0.07235200806579627, 0.06987259780518652, 0.05813672257163374, 0.048880257598690705, 0.053508490085162216, 0.06623612942295888, 0.07235200806579627]","[0.9340462864094532, 0.9208441994395934, 0.903351434204529, 0.8987307037650781, 0.9119327907349379, 0.9294255559700023, 0.9261250342275373, 0.908632268992473]",24,0,28
265.6359648704529,"[0.9627126800153976, 1.0039421819529577, 0.9735625489463344, 0.9464378766189923, 0.9496928372982734, 0.9768175096256155, 0.9958047802547552, 0.9854974047703651]","[0.06640142344033288, 0.05003731572030859, 0.05003731572030859, 0.05813672257163374, 0.07136024396155237, 0.0690461277183166, 0.057475546502137806, 0.048880257598690705]","[0.8970804428938456, 0.8977405472423386, 0.9152333124774029, 0.9244747733563048, 0.913252999431924, 0.8944400254998737, 0.8901493472346692, 0.9040115385530221]",25,0,28
265.96926832199097,"[0.9521340578077341, 0.8962572328134092, 0.9184994641218298, 0.950777824191367, 0.9589152258895697, 0.9307055666691337, 0.9016821672788776, 0.9076495951908928]","[0.052847314015666294, 0.06607083540558491, 0.07284789011791822, 0.06656671745770686, 0.0508637858071785, 0.05102907982455249, 0.05780613453688578, 0.07251730208317024]","[0.9201840950911004, 0.954509521212736, 0.9356965472806857, 0.9208441994395934, 0.9231545646593189, 0.9419675385913692, 0.9515390516445176, 0.9399872255458902]",24,0,29
266.3024117946625,"[0.9391142150906099, 0.9960760269780284, 0.9819711973678105, 0.9491503438517265, 0.936672994581149, 0.9562027586568355, 0.9857686514936386, 0.9884811187263727]","[0.06987259780518652, 0.057971428554259755, 0.049210845633438666, 0.053673784102536204, 0.06755848156195075, 0.07202142003104829, 0.06474848326659306, 0.05069849178980451]","[0.9208441994395934, 0.8848685124467253, 0.8977405472423386, 0.9162234690001424, 0.913252999431924, 0.8951001298483666, 0.8835483037497393, 0.8914695559316552]",25,0,28
266.63580417633057,"[0.9608139529524837, 0.9290780863294932, 0.933418033901868, 0.9640689136317646, 0.9865823916634586, 0.9741050423928812, 0.9391142150906099, 0.9252806322036653]","[0.05135966785930045, 0.05813672257163374, 0.07169083199630032, 0.06954200977043855, 0.058797898641129664, 0.04854966956394274, 0.052682019998292307, 0.06524436531871501]","[0.9063219037727476, 0.9455981125080807, 0.9347063907579463, 0.9155633646516494, 0.909952477689459, 0.9221644081365794, 0.9393271211973973, 0.9403172777201367]",25,0,29
266.9690320491791,"[0.945624136449172, 0.9768175096256155, 0.9838699244307245, 0.9572877455499291, 0.9266368658200325, 0.930163073222587, 0.9627126800153976, 0.9830561842609042]","[0.07251730208317024, 0.06607083540558491, 0.05169025589404841, 0.05119437384192646, 0.05731025248476383, 0.07202142003104829, 0.06937671575306457, 0.05764084051951179]","[0.9228245124850724, 0.907312060295487, 0.9122628429091845, 0.9317359211897278, 0.9383369646746577, 0.9281053472730163, 0.9119327907349379, 0.9050016950757616]",25,0,29
267.30244874954224,"[0.969493848097233, 0.9312480601156806, 0.9195844510149235, 0.9418266823233441, 0.9711213284368736, 0.9762750161790688, 0.9486078504051796, 0.9201269444614703]","[0.04854966956394274, 0.05251672598091833, 0.06623612942295888, 0.0710296559268044, 0.06540965933608898, 0.049706727685560614, 0.05020260973768256, 0.05764084051951179]","[0.9191939385683608, 0.9647411386143775, 0.963090877743145, 0.9439478516368481, 0.9281053472730163, 0.9333861820609602, 0.9541794690384896, 0.9627608255688984]",25,0,30
267.6356294155121,"[0.924466892033845, 0.9979747540409425, 1.0142495574373478, 1.0015009614434969, 0.961085199675757, 0.9488790971284531, 0.9730200554997877, 1.0017722081667704]","[0.07152553797892634, 0.06970730378781252, 0.05697966445001586, 0.04788849349444681, 0.052351431963544345, 0.06574024737083696, 0.07152553797892634, 0.06491377728396704]","[0.9485685820762991, 0.9007110168105571, 0.8970804428938456, 0.9116027385606915, 0.9274452429245233, 0.9241447211820584, 0.9089623211667195, 0.8970804428938456]",26,0,29
267.9688847064972,"[1.0052984155693248, 0.9396567085371567, 0.9144307632727284, 0.9222969182476577, 0.9548465250404683, 0.9732913022230611, 0.9600002127826635, 0.926365619096759]","[0.04937613965081265, 0.0508637858071785, 0.05863260462375569, 0.07235200806579627, 0.06921142173569057, 0.057475546502137806, 0.048880257598690705, 0.053673784102536204]","[0.90137112115905, 0.9518691038187641, 0.9601204081749265, 0.9465882690308202, 0.9264550864017839, 0.9231545646593189, 0.9376768603261647, 0.9568198864324615]",25,0,30
268.3021924495697,"[0.9117182960399942, 0.968137614480866, 0.9971610138711222, 1.00095846799695, 0.9738337956696079, 0.9439966561095314, 0.9469803700655391, 0.9803437170281699]","[0.06656671745770686, 0.07136024396155237, 0.06491377728396704, 0.05003731572030859, 0.05020260973768256, 0.057475546502137806, 0.07185612601367432, 0.0700378918225605]","[0.9515390516445176, 0.9297556081442488, 0.9185338342198679, 0.9241447211820584, 0.9436177994626016, 0.9525292081672571, 0.9403172777201367, 0.9201840950911004]",26,0,30
268.63562202453613,"[0.999059740934036, 0.9879386252798259, 0.9534902914241012, 0.938571721644063, 0.9605427062292102, 0.9914648326823803, 0.9971610138711222, 0.9684088612041395]","[0.058302016589007716, 0.04821908152919477, 0.052351431963544345, 0.06623612942295888, 0.07169083199630032, 0.06540965933608898, 0.05003731572030859, 0.0508637858071785]","[0.9149032603031565, 0.9290955037957558, 0.9479084777278061, 0.9459281646823271, 0.9271151907502768, 0.91457320812891, 0.9211742516138399, 0.9393271211973973]",26,0,30
268.9687249660492,"[0.9380292281975162, 0.9391142150906099, 0.9730200554997877, 0.9949910400849349, 0.9825136908143575, 0.9461666298957189, 0.9326042937320477, 0.9553890184870152]","[0.05764084051951179, 0.07185612601367432, 0.06937671575306457, 0.058302016589007716, 0.04772319947707282, 0.0518555499114224, 0.06557495335346296, 0.07235200806579627]","[0.9485685820762991, 0.9650711907886239, 0.9459281646823271, 0.9389970690231507, 0.9515390516445176, 0.969031816879582, 0.9680416603568424, 0.9492286864247921]",26,0,31
269.30209016799927,"[0.9863111449401853, 0.9930923130220208, 0.9667813808644989, 0.9372154880276959, 0.9426404224931644, 0.9738337956696079, 0.9939060531918411, 0.9819711973678105]","[0.06507907130134101, 0.05069849178980451, 0.05102907982455249, 0.05780613453688578, 0.07185612601367432, 0.06987259780518652, 0.058797898641129664, 0.048384375546568756]","[0.9340462864094532, 0.9155633646516494, 0.9333861820609602, 0.9439478516368481, 0.9304157124927418, 0.9142431559546634, 0.9089623211667195, 0.9211742516138399]",26,0,30
269.63547134399414,"[0.9494215905749999, 0.9293493330527667, 0.950777824191367, 0.982242444091084, 0.9901085990660132, 0.9618989398455773, 0.9309768133924072, 0.9339605273484148]","[0.05251672598091833, 0.06408730719709711, 0.07218671404842227, 0.06557495335346296, 0.05053319777243054, 0.04954143366818664, 0.056649076415267896, 0.07202142003104829]","[0.9403172777201367, 0.969031816879582, 0.9502188429475316, 0.9347063907579463, 0.9399872255458902, 0.958470147303694, 0.9683717125310889, 0.957810042955201]",26,0,31
269.9687123298645,"[0.9689513546506863, 0.99065109251256, 0.9760037694557953, 0.9412841888767972, 0.9277218527131261, 0.9494215905749999, 0.982242444091084, 0.9887523654496462]","[0.06970730378781252, 0.058797898641129664, 0.04788849349444681, 0.05218613794617036, 0.06524436531871501, 0.07218671404842227, 0.06574024737083696, 0.05003731572030859]","[0.9389970690231507, 0.9333861820609602, 0.9449380081595876, 0.9654012429628704, 0.963750982091638, 0.9436177994626016, 0.9327260777124673, 0.9363566516291787]",26,0,31
270.30188393592834,"[0.9575589922732026, 0.9290780863294932, 0.9339605273484148, 0.9670526275877724, 0.9879386252798259, 0.9773600030721623, 0.9420979290466175, 0.9250093854803919]","[0.0498720217029346, 0.05648378239789391, 0.07169083199630032, 0.06970730378781252, 0.05929378069325161, 0.04788849349444681, 0.052351431963544345, 0.06474848326659306]","[0.9538494168642431, 0.9647411386143775, 0.9551696255612291, 0.9347063907579463, 0.9277752950987698, 0.9432877472883552, 0.961110564697666, 0.95979035600068]",26,0,31
270.635315656662,"[0.9469803700655391, 1.0253706730915582, 1.0280831403242923, 0.9968897671478487, 0.9662388874179522, 0.969493848097233, 1.0028571950598641, 1.0215732189657303]","[0.07202142003104829, 0.06557495335346296, 0.049706727685560614, 0.048880257598690705, 0.05598790034577196, 0.07136024396155237, 0.06888083370094263, 0.057475546502137806]","[0.9413074342428762, 0.9254649298790444, 0.9290955037957558, 0.9472483733793131, 0.9574799907809545, 0.9465882690308202, 0.9281053472730163, 0.9228245124850724]",27,0,31
270.9683232307434,"[1.0082821295253326, 0.928264346159673, 0.9149732567192753, 0.9401992019837035, 0.9722063153299674, 0.9776312497954358, 0.9480653569586328, 0.9182282173985563]","[0.047227317424950885, 0.053177902050414255, 0.06590554138821093, 0.07086436190943042, 0.06474848326659306, 0.05020260973768256, 0.0498720217029346, 0.057144958467389845]","[0.9376768603261647, 0.9944458342965622, 0.9894950516828648, 0.9683717125310889, 0.9548395733869826, 0.9607805125234194, 0.9812437473267023, 0.9898251038571112]",26,0,32
271.30177116394043,"[0.9252806322036653, 1.006654649185692, 1.0223869591355506, 1.006112155739145, 0.9697650948205065, 0.9572877455499291, 0.9789874834118029, 1.0082821295253326]","[0.07218671404842227, 0.06921142173569057, 0.056814370432641884, 0.047557905459698846, 0.05251672598091833, 0.06557495335346296, 0.07202142003104829, 0.06507907130134101]","[0.9753028081902654, 0.9211742516138399, 0.9175436776971284, 0.9327260777124673, 0.9498887907732851, 0.9495587385990386, 0.9314058690154813, 0.9172136255228819]",27,0,31
271.63522958755493,"[1.0142495574373478, 0.9439966561095314, 0.9155157501658221, 0.9201269444614703, 0.9551177717637418, 0.975190029285975, 0.9646114070783116, 0.9271793592665792]","[0.04954143366818664, 0.05036790375505655, 0.05731025248476383, 0.07251730208317024, 0.06888083370094263, 0.0584673106063817, 0.048053787511820795, 0.05218613794617036]","[0.9261250342275373, 0.9795934864554698, 0.9885048951601253, 0.9739825994932794, 0.9535193646899965, 0.9505488951217781, 0.9654012429628704, 0.9828940081979347]",26,0,32
271.9683485031128,"[0.914159516549455, 0.9795299768583499, 1.008010882802059, 1.01045210331152, 0.9825136908143575, 0.952676551254281, 0.9581014857197494, 0.9903798457892867]","[0.06623612942295888, 0.07119494994417837, 0.06540965933608898, 0.04937613965081265, 0.049210845633438666, 0.05598790034577196, 0.07086436190943042, 0.06888083370094263]","[0.9802535908039628, 0.9588001994779405, 0.9452680603338341, 0.9502188429475316, 0.9700219734023214, 0.9786033299327304, 0.9663913994856099, 0.9482385299020526]",27,0,32
272.3017213344574,"[1.0099096098649731, 0.998246000764216, 0.9627126800153976, 0.9477941102353593, 0.9705788349903268, 1.0031284417831374, 1.008010882802059, 0.9760037694557953]","[0.057144958467389845, 0.04739261144232486, 0.0518555499114224, 0.06524436531871501, 0.07069906789205642, 0.06474848326659306, 0.049210845633438666, 0.04937613965081265]","[0.9432877472883552, 0.9574799907809545, 0.9749727560160188, 0.9720022864478004, 0.9528592603415036, 0.9419675385913692, 0.9472483733793131, 0.9670515038341029]",27,0,32
272.63510608673096,"[0.9475228635120859, 0.9556602652102886, 0.9884811187263727, 1.006112155739145, 0.9917360794056538, 0.9551177717637418, 0.9461666298957189, 0.9716638218834206]","[0.056814370432641884, 0.07169083199630032, 0.06855024566619465, 0.05648378239789391, 0.048053787511820795, 0.052682019998292307, 0.06673201147508083, 0.07169083199630032]","[0.9746427038417723, 0.964411086440131, 0.9439478516368481, 0.9403172777201367, 0.9568198864324615, 0.9736525473190328, 0.9703520255765679, 0.95318931251575]",27,0,32
272.9683258533478,"[1.0028571950598641, 1.003399688506411, 0.9713925751601471, 0.9461666298957189, 0.9543040315939215, 0.9868536383867321, 1.0050271688460515, 0.9903798457892867]","[0.06425260121447111, 0.048880257598690705, 0.05003731572030859, 0.0584673106063817, 0.07218671404842227, 0.06855024566619465, 0.057144958467389845, 0.049210845633438666]","[0.9386670168489042, 0.9449380081595876, 0.9647411386143775, 0.9733224951447863, 0.960450460349173, 0.9409773820686297, 0.9386670168489042, 0.954509521212736]",27,0,32
273.301593542099,"[0.9548465250404683, 0.9391142150906099, 0.9648826538015849, 0.9963472737013019, 0.9998734811038563, 0.9667813808644989, 0.9372154880276959, 0.9491503438517265]","[0.053177902050414255, 0.06689730549245483, 0.07053377387468245, 0.06458318924921906, 0.048880257598690705, 0.05020260973768256, 0.05780613453688578, 0.07235200806579627]","[0.9696919212280749, 1.000386773432999, 0.9822339038494418, 0.9683717125310889, 0.9739825994932794, 0.9941157821223155, 1.000386773432999, 0.9868546342888928]",27,0,33
273.6349391937256,"[0.984141171153998, 1.0020434548900439, 0.9852261580470916, 0.9529477979775544, 0.9442679028328049, 0.9689513546506863, 1.00095846799695, 1.0004159745504033]","[0.06821965763144668, 0.05598790034577196, 0.048880257598690705, 0.05383907811991019, 0.06871553968356862, 0.07136024396155237, 0.06375671916234917, 0.048384375546568756]","[0.9670515038341029, 0.9350364429321928, 0.9502188429475316, 0.9673815560083494, 0.9621007212204055, 0.9422975907656157, 0.9327260777124673, 0.9403172777201367]",27,0,32
273.9680337905884,"[0.9670526275877724, 0.9369442413044224, 0.9494215905749999, 0.9825136908143575, 0.9985172474874893, 0.9787162366885296, 0.9448103962793517, 0.9380292281975162]","[0.05119437384192646, 0.05780613453688578, 0.07202142003104829, 0.06788906959669873, 0.054500254189406114, 0.048053787511820795, 0.05251672598091833, 0.06838495164882068]","[0.959130251652187, 0.9993966169102596, 0.9861945299403997, 0.9670515038341029, 0.9647411386143775, 0.9822339038494418, 0.9987365125617665, 0.9924655212510832]",27,0,33
274.30144906044006,"[0.9635264201852178, 1.0397467494250494, 1.0370342821923153, 1.0063834024624185, 0.9781737432419826, 0.9857686514936386, 1.0194032451795427, 1.0351355551294013]","[0.07086436190943042, 0.06259966104073127, 0.04739261144232486, 0.05053319777243054, 0.05813672257163374, 0.07202142003104829, 0.06855024566619465, 0.0546655482067801]","[0.9693618690538284, 0.9241447211820584, 0.9330561298867137, 0.9551696255612291, 0.959130251652187, 0.9469183212050666, 0.9300856603184953, 0.9254649298790444]",28,0,32
274.6347985267639,"[1.0194032451795427, 0.936672994581149, 0.9323330470087743, 0.9602714595059367, 0.9884811187263727, 0.9895661056194665, 0.9591864726128432, 0.9342317740716882]","[0.048384375546568756, 0.05334319606778824, 0.06772377557932473, 0.07053377387468245, 0.06441789523184509, 0.048384375546568756, 0.05053319777243054, 0.058302016589007716]","[0.9452680603338341, 0.9967561995162876, 0.9918054169025902, 0.9720022864478004, 0.9588001994779405, 0.9667214516598565, 0.9871846864631392, 0.995105938645055]",27,0,33
274.9681553840637,"[0.9426404224931644, 1.0177757648399022, 1.0307956075570266, 1.0142495574373478, 0.976546262902342, 0.9673238743110457, 0.9949910400849349, 1.0248281796450112]","[0.07235200806579627, 0.06689730549245483, 0.05433496017203214, 0.04739261144232486, 0.05218613794617036, 0.06689730549245483, 0.07020318583993447, 0.06342613112760119]","[0.9789333821069768, 0.957810042955201, 0.957149938606708, 0.9723323386220468, 0.9888349473343717, 0.9812437473267023, 0.964411086440131, 0.95318931251575]",28,0,33
275.3011727333069,"[1.0237431927519176, 0.9510490709146404, 0.9274506059898527, 0.9388429683673364, 0.9716638218834206, 0.991193585959107, 0.977088756348889, 0.9415554356000706]","[0.04772319947707282, 0.05053319777243054, 0.05912848667587764, 0.07284789011791822, 0.06921142173569057, 0.057144958467389845, 0.04772319947707282, 0.052847314015666294]","[0.95979035600068, 0.9838841647206743, 0.9918054169025902, 0.9795934864554698, 0.957810042955201, 0.955829729909722, 0.9716722342735539, 0.9898251038571112]",27,0,33
