"F","T","x","side"
"[1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 0.7966451978185134, 0.31736177744948435, 0.10624583371588159, 0.5848026841753082]","6.78695273399353","0","L"
"[1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 0.8147146755703645, 0.4012016270183878, 0.4499449909538882]","6.787373304367065","0","M"
"[1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 0.8182843451262372, 0.3577969724186616, 0.30368330915131736]","6.787417650222778","0","R"
"[1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462]","7.085862159729004","0","L"
"[0.7692882612221794, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462]","7.085892915725708","0","M"
"[0.5168841926255183, 0.8173050552480774, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462, 1.0115835310765462]","7.085914134979248","0","R"
