"F","T","x","side"
"[8.208959943951722, 0.5630573083204994, -0.05050277972398154, -3.238655341174144, 1.3871048536251558, 0.3520273576137769, 4.101199566699018, 5.285734007234052]","3.708254098892212","0","L"
"[-5.565152718575621, -5.565152718575621, -5.438393873181361, 3.073430187507827, 5.258947685226627, 5.258947685226627, -5.537259170565686, -5.565152718575621]","3.7083206176757812","0","M"
"[10.616126817930434, -1.0421104714874392, -10.996983742837076, -10.996983742837076, -10.996983742837076, 3.1351642364593397, 10.616126817930434, 10.616126817930434, -10.996983742837076]","3.7083587646484375","0","R"
"[1.0293304256275122, 0.10709156649787671, -3.4410322013533134, 0.9422602274567434, 0.48520949874102715, 7.01032067380647, 2.3782403804662406, 0.40980290967101585, 0.38945940542550916]","4.008457899093628","0","L"
"[-5.565152718575621, -5.13948727290922, 4.36883940166773, 5.258947685226627, 1.9710843856407363, -5.560201201177407, -5.565152718575621, -5.565152718575621]","4.008526086807251","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, 9.162246990374616, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076]","4.008562803268433","0","R"
"[-1.734275406043619, 0.6579936614661971, 0.981048508884843, 8.766914453725152, 0.282045703009234, 0.9642312120418907, -0.48388522160775677, 0.5850282929056465]","4.309101343154907","0","L"
"[1.137010773971619, 4.981253736038336, 5.258947685226627, -2.370268642668479, -5.565152718575621, -5.565152718575621, -5.565152718575621, 2.2185295296495884, 5.258947685226627]","4.3091607093811035","0","M"
"[-10.996983742837076, -9.069351690790329, 10.30092699152503, 10.616126817930434, 10.109166678287815, -10.996983742837076, -10.996983742837076, -10.996983742837076]","4.309201002120972","0","R"
"[0.6262577948432068, 0.668843530397134, 8.73734856088835, 1.1169431172448272, 0.13611496588813288, -2.6812361236068205, 1.1904509792519247, 0.5804170986099983]","4.634025573730469","0","L"
"[5.258947685226627, -5.455394082915227, -5.565152718575621, -5.565152718575621, -5.565152718575621, 3.7400609595770997, 5.258947685226627, 5.258947685226627]","4.6340882778167725","0","M"
"[-4.878259742443864, 10.616126817930434, 10.616126817930434, 3.149026427777693, -10.996983742837076, -10.996983742837076, -10.996983742837076, -0.4660289486668351, 10.616126817930434]","4.6341259479522705","0","R"
"[2.837461082968144, 6.433107646680628, 1.2417166099506014, -0.017410679484624048, -3.6192324970278573, 1.4616977025253468, 0.6113392250631685, 5.581392935602082, 3.3297738857094052]","4.934211254119873","0","L"
"[-5.560696352917229, -5.565152718575621, -5.565152718575621, -5.049864808001559, 4.287349451102356, 5.258947685226627, 3.143184262839648, -5.533958158966877]","4.9342756271362305","0","M"
"[10.616126817930434, -7.453818724619504, -10.996983742837076, -10.996983742837076, -10.996983742837076, 8.331175615621937, 10.616126817930434, 10.616126817930434]","4.934313535690308","0","R"
