"F","T","x","side"
"[0.4714261882812636, 0.5525492981881754, -0.2578970269997285, -0.7444907018680738, 0.06410477895894218, 0.8759676779494541, 0.14841847846889067, -0.6607542635638879, -0.33951715396239024]","53.07710576057434","0","L"
"[0.49148583578550387, 0.6809942222074525, -0.05444685758544665, -0.3380009906132386, 0.20951353086763191, 0.816768025314893, 0.45446236039185095, -0.23910291881753665]","53.07900261878967","0","M"
"[0.1377410597973423, 0.38474323906608987, -0.1256117747862504, -0.4438481444258855, -0.09323536993457537, 0.4339604529426353, 0.28365525164314676, -0.27776508422090274]","53.07915472984314","0","R"
"[0.47041530840703416, 0.5530231481292205, -0.25685466469718676, -0.7450908498604463, 0.06277799912401605, 0.874830438090946, 0.14923981836670208, -0.6592065134782956]","53.37624478340149","0","L"
"[-0.1029009112854169, 0.5505907184318559, 0.730495746048625, 0.1303490007170396, -0.36750300244881373, 0.14788144853570628, 0.8088073463053362, 0.2979023398705678, -0.1944708602268861]","53.376277923583984","0","M"
"[-0.3055614122886823, 0.18920116339483428, 0.4368667325810449, 0.042465631651218416, -0.4295709395547078, -0.14396366865827304, 0.41844976487242747, 0.15476806767889428]","53.376298904418945","0","R"
