F,V,T1,T2,x,Status,F_set
5.548840354002091,-0.024250727382,26.614025115966797,0,413,drift,6.0
5.545499957580355,-0.02425112213925,26.938927173614502,0,413,drift,6.0
5.5429085289661835,-0.024253095925500002,27.23948884010315,0,413,drift,6.0
5.540380762615654,-0.024254938126000006,27.53994655609131,0,413,drift,6.0
5.535973087068139,-0.02425270116825,27.86476159095764,0,413,drift,6.0
5.533741163001597,-0.024255859226250003,28.16518998146057,0,413,drift,6.0
5.530977471791686,-0.024251078277333336,28.465768337249756,0,413,drift,6.0
5.527404895349605,-0.024251911653750003,28.790605545043945,0,413,drift,6.0
5.5247760183450545,-0.024254280197250004,29.09101438522339,0,413,drift,6.0
5.522551583956588,-0.024251429172666664,29.391457080841064,0,413,drift,6.0
5.519615630150937,-0.0242515168965,29.71631908416748,0,413,drift,6.0
5.5165523518179995,-0.02425033262475,30.016788005828857,0,413,drift,6.0
5.514193103224173,-0.024249674696,30.31768298149109,0,413,drift,6.0
5.510598057747864,-0.0242515168965,30.642218351364136,0,413,drift,6.0
5.508160167534243,-0.024250727382,30.942670345306396,0,413,drift,6.0
5.506474989967224,-0.024252130963333333,31.243013381958008,0,413,drift,6.0
5.502928627398407,-0.0242546749545,31.568015575408936,0,413,drift,6.0
5.500340943623272,-0.02425112213925,31.86851692199707,0,413,drift,6.0
5.49831873054285,-0.02425353454466667,32.16887426376343,0,413,drift,6.0
5.4953191144735545,-0.02425349068275,32.493854999542236,0,413,drift,6.0
5.492622830366323,-0.02425112213925,32.79420852661133,0,413,drift,6.0
5.490330988875178,-0.024252130963333333,33.09460759162903,0,413,drift,6.0
5.488368693219359,-0.0242499378675,33.41952395439148,0,413,drift,6.0
5.485241752622779,-0.024248753595750003,33.720113039016724,0,413,drift,6.0
5.483084725336995,-0.024251078277333336,34.02041792869568,0,413,drift,6.0
5.480160006048456,-0.0242530959255,34.34540677070618,0,413,drift,6.0
5.478298821046658,-0.024249543110250002,34.64580011367798,0,413,drift,6.0
5.476748457685001,-0.024248972905333333,34.9463586807251,0,413,drift,6.0
5.473119708657352,-0.024249543110250002,35.271198987960815,0,413,drift,6.0
